n_answers,n_correct_answers
30,27
30,14
30,25
30,25
30,30
30,30
30,18
30,25
30,27
30,24
30,27
30,14
30,29
30,29
30,26
30,27
30,29
30,20
30,29
30,24
30,30
30,17
30,23
30,30
30,29
30,15
30,17
30,30
30,28
30,29
30,24
30,30
30,11
30,28
30,28
30,27
30,14
30,30
30,19
30,29
30,1
30,30
30,28
28,28
1,1
30,30
30,21
30,26
30,25
30,29
30,30
30,16
30,18
30,29
31,10
30,30
30,22
30,24
30,28
30,28
30,30
30,19
36,33
30,29
30,28
30,10
30,20
30,30
30,20
30,14
30,30
30,20
30,27
30,29
1,1
30,7
30,24
30,30
30,24
30,30
30,24
30,22
30,29
30,30
30,25
30,29
30,17
10,9
30,21
30,30
30,21
30,28
30,30
30,29
30,30
30,17
30,15
30,21
30,29
4,3
30,30
30,29
30,10
30,17
30,30
30,24
30,29
30,28
4,3
30,17
30,30
30,9
30,29
30,30
30,26
30,27
30,30
30,30
30,29
30,23
30,24
30,19
30,29
30,29
30,10
30,29
30,25
30,23
1,1
30,13
30,30
30,29
30,16
30,28
30,26
30,28
30,26
30,20
30,27
30,15
30,18
30,7
30,27
30,24
30,13
30,29
30,15
30,20
30,28
30,27
30,27
30,25
30,25
30,28
30,29
30,24
30,25
30,26
30,23
30,23
30,25
30,19
26,25
3,3
30,30
30,23
30,20
9,8
30,28
30,25
30,29
30,22
30,29
30,29
30,22
7,7
7,7
0,0
3,3
