n_answers,n_correct_answers
30,29
30,21
30,28
30,25
30,30
30,30
21,21
30,30
30,30
30,25
9,9
30,23
30,29
30,24
30,29
30,28
28,27
15,13
30,29
30,21
30,25
30,30
30,30
30,26
30,20
30,20
30,29
30,27
30,28
30,25
30,25
30,27
30,28
30,28
30,30
30,23
30,30
30,28
30,30
30,30
30,29
30,28
30,18
30,23
30,21
30,14
30,30
30,24
30,30
30,25
30,26
30,30
30,23
30,30
30,19
30,22
30,19
30,20
30,26
30,27
30,25
30,26
30,30
30,29
30,29
30,29
30,27
30,30
30,28
30,25
30,26
30,30
30,26
30,24
30,28
30,23
30,29
30,28
30,11
30,27
30,28
30,21
31,25
30,25
30,21
30,21
30,30
30,21
30,29
30,30
30,29
30,30
10,10
30,30
30,23
30,23
30,19
30,30
30,30
2,1
33,9
30,25
30,29
30,9
30,20
30,25
30,15
30,26
30,30
30,27
30,30
30,30
30,29
30,16
30,29
30,30
30,28
30,25
30,27
30,30
30,29
30,24
30,22
30,23
30,28
30,30
30,30
30,28
30,23
30,15
30,25
2,1
30,15
30,29
30,8
30,23
30,30
30,25
30,25
30,30
31,28
30,27
30,28
30,30
30,28
30,29
30,27
30,30
30,24
30,24
30,26
30,30
30,28
30,22
30,29
30,27
30,30
9,8
30,28
30,4
30,22
30,29
30,18
30,30
30,30
30,27
30,14
30,30
30,19
30,25
30,24
30,13
30,30
30,29
30,13
30,30
30,30
31,29
30,16
30,30
30,24
30,25
30,25
30,25
30,28
30,24
30,30
30,28
30,30
30,14
30,25
30,16
30,30
30,14
30,16
30,29
30,22
30,29
30,29
31,18
30,30
30,27
30,28
30,26
30,22
30,30
30,25
30,18
30,9
30,26
30,7
30,30
30,29
30,27
30,22
30,30
30,25
30,18
8,5
30,23
30,23
30,1
30,29
30,29
31,30
30,29
30,26
30,30
30,26
30,29
30,23
30,26
30,28
30,26
30,28
30,29
30,27
30,30
30,26
30,30
30,27
30,29
30,28
30,29
30,29
30,27
30,28
30,28
30,28
30,28
30,17
30,11
30,27
30,27
30,24
30,27
30,28
30,26
30,30
30,30
30,21
30,17
30,22
23,12
2,1
