left id,right id,count
72,116,9
121,116,5
57,116,5
123,116,5
87,116,5
84,116,5
104,116,12
60,116,5
94,116,5
56,116,5
64,116,5
48,116,5
17,116,5
42,116,5
38,116,15
23,116,12
77,116,5
0,116,5
34,116,9
51,116,5
70,116,9
112,116,80
114,116,5
45,116,5
115,116,5
120,116,9
32,116,5
75,116,5
102,116,5
73,116,5
10,116,5
57,121,5
123,121,5
87,121,15
84,121,80
60,121,5
94,121,5
56,121,5
64,121,5
48,121,5
17,121,5
42,121,5
77,121,5
0,121,5
51,121,5
68,116,5
45,121,12
28,115,5
32,121,5
75,121,9
102,121,39
73,121,18
72,121,5
70,121,9
34,121,9
2,116,5
10,121,5
35,114,12
3,116,5
60,57,5
94,57,5
56,57,5
64,57,9
48,57,5
42,57,9
77,57,12
17,57,5
0,57,5
51,57,5
68,123,5
28,123,5
32,57,12
104,123,80
23,123,80
75,57,5
72,57,5
2,121,9
38,121,9
10,57,5
3,123,5
61,115,9
76,115,5
48,94,5
95,116,5
45,60,80
17,94,5
0,94,9
51,94,5
68,56,5
28,57,5
75,94,5
70,57,5
34,60,5
72,94,5
10,94,5
87,57,80
64,94,5
3,60,15
42,94,5
35,121,12
2,60,5
38,60,24
76,121,12
95,123,5
14,116,12
17,48,12
51,48,12
68,94,12
28,94,15
75,48,80
70,94,5
73,60,18
77,94,44
32,94,12
61,121,18
34,94,12
72,48,80
10,48,5
64,48,5
42,48,12
2,94,5
95,57,44
70,48,80
117,115,29
101,120,18
35,56,9
76,56,12
2,10,5
14,123,80
17,64,15
90,116,12
68,48,80
32,48,12
3,94,5
34,10,21
42,64,80
28,48,9
2,64,5
73,94,5
35,94,18
61,56,80
3,10,5
76,94,9
43,114,5
73,10,56
38,94,5
28,64,15
3,64,9
0,48,5
101,123,80
90,123,9
32,64,5
43,121,80
38,51,12
17,2,5
76,10,9
0,64,5
36,116,9
3,2,5
111,114,5
58,120,5
90,60,5
0,2,5
102,60,12
35,10,5
34,32,15
38,64,9
28,2,5
76,32,9
36,121,59
3,17,5
37,117,9
58,121,12
90,94,12
22,111,5
35,64,49
77,51,5
28,17,5
50,114,32
22,121,80
102,94,5
38,2,12
37,121,44
77,32,5
28,3,21
76,0,18
34,0,18
58,60,9
66,116,18
102,51,12
77,2,34
100,114,34
38,17,80
112,121,26
84,95,18
20,111,21
102,32,21
76,17,15
34,17,80
104,56,12
24,116,12
66,121,9
23,58,29
45,94,9
87,90,9
50,121,15
21,115,29
66,56,12
75,64,12
84,90,5
104,94,9
72,32,9
24,121,5
20,121,21
102,0,9
76,3,24
45,51,21
70,64,5
87,48,5
84,73,34
112,58,5
24,58,5
35,0,5
77,17,5
14,95,5
100,121,15
37,60,29
104,51,5
66,94,5
72,0,5
70,0,5
87,64,12
112,94,5
75,0,5
24,94,9
68,32,5
50,56,5
102,17,80
35,17,80
77,3,9
42,2,5
14,94,9
104,64,9
36,56,5
66,10,80
72,17,5
70,17,9
112,73,21
75,17,9
61,90,9
68,2,9
50,90,9
42,17,15
36,90,5
24,73,9
72,3,5
87,2,5
98,115,9
20,95,9
45,32,5
14,10,5
104,2,5
36,73,49
43,58,12
23,90,5
100,56,5
101,56,5
21,123,12
70,3,5
76,28,5
75,77,5
61,51,9
50,10,26
72,28,5
87,17,5
24,32,15
14,64,5
104,17,5
45,2,5
68,17,5
23,73,12
100,90,9
101,94,5
70,28,5
119,114,5
75,28,5
98,123,5
20,94,5
72,76,5
42,3,5
84,64,5
87,3,5
37,94,5
112,64,5
61,64,5
45,17,9
21,56,5
14,2,5
43,90,5
104,3,5
101,51,5
68,3,5
70,76,5
7,111,5
75,76,5
100,48,5
98,56,80
47,116,5
20,48,5
87,28,5
84,2,5
37,10,5
42,28,5
112,2,5
21,90,5
14,17,71
43,51,12
11,116,5
104,28,5
68,28,9
23,61,5
45,77,5
26,114,5
7,121,5
15,116,5
101,32,5
100,64,5
47,123,12
87,76,21
20,32,5
107,120,5
42,76,5
112,17,5
37,64,5
84,17,9
21,73,12
11,121,9
104,76,12
23,0,5
22,58,12
45,28,9
101,2,5
26,123,5
7,57,5
15,123,37
100,0,5
20,2,5
107,123,5
37,2,5
89,114,5
112,77,5
68,76,5
23,17,5
43,32,5
84,3,5
122,111,32
101,17,32
11,56,5
7,94,9
45,76,5
26,60,56
100,17,5
20,17,5
107,56,54
47,58,9
37,17,80
30,114,5
89,123,80
112,28,5
52,119,80
43,2,5
84,28,5
21,32,5
40,111,9
11,90,5
22,90,5
91,115,5
71,114,5
41,114,5
7,10,5
30,121,5
112,76,9
43,20,80
84,76,5
21,0,5
47,94,5
91,121,5
71,123,26
22,48,26
11,73,80
41,121,66
7,64,15
19,115,9
30,95,15
16,117,26
21,20,5
40,123,80
47,10,5
91,60,5
38,3,5
5,111,5
44,117,5
12,115,5
91,94,29
19,121,15
38,28,9
5,123,9
44,121,34
12,123,12
7,2,80
30,90,15
38,76,12
5,60,5
49,120,5
15,95,5
19,60,9
12,56,5
5,94,9
71,60,9
22,32,5
49,123,9
101,77,5
15,94,5
16,121,12
12,90,5
85,117,5
66,64,5
22,0,5
101,28,5
15,50,5
30,10,5
19,90,5
5,48,5
71,94,5
39,116,5
12,51,5
85,121,80
66,0,5
49,58,9
101,76,9
22,21,12
15,64,9
30,24,5
5,64,5
19,50,9
71,47,80
39,121,52
16,58,9
113,111,9
66,17,5
44,60,5
5,2,9
13,122,12
36,30,9
34,3,9
26,91,15
49,90,9
105,115,18
107,94,78
66,3,9
44,91,9
80,111,18
15,0,9
19,64,18
4,115,9
16,91,9
92,115,5
99,117,5
36,2,5
13,123,5
34,28,12
49,47,5
92,121,5
35,77,9
66,28,5
44,47,5
102,77,9
15,21,5
99,121,5
4,121,5
26,12,5
16,50,5
36,17,18
13,60,5
18,113,18
66,76,5
92,95,5
44,61,5
25,119,5
99,56,12
105,123,49
80,123,5
4,95,5
35,28,5
41,57,15
19,2,5
16,30,9
34,76,9
13,91,5
26,24,5
102,28,9
31,122,9
44,2,5
25,123,9
92,94,15
35,76,5
80,56,80
4,91,42
19,22,5
13,50,56
9,115,5
82,111,5
44,100,80
16,5,5
8,117,5
37,3,34
89,60,15
52,123,29
118,120,26
102,76,5
31,123,15
6,111,5
9,121,5
82,121,5
25,58,54
98,94,24
108,117,5
18,123,34
41,94,5
16,20,5
8,123,15
43,3,5
79,116,9
