time
"[9463, 4509, 5183, 3312, 4238, 63571, 21396, 2069, 1757, 3541, 2431, 7470, 15128, 13464, 8829, 18614, 2618, 2136, 6214, 1885, 4589, 8233, 4823, 4742, 2813, 1654, 1547, 2270, 4132, 2108]"
"[3920, 1974, 1727, 1630, 1658, 3409, 3238, 1356, 1718, 5776, 3422, 1867, 5858, 2334, 2302, 1405, 1281, 4324, 1399, 1281, 4602, 2720, 1233, 2483, 1752, 1450, 1422, 1202, 1528, 2124]"
"[3526, 2303, 1845, 1865, 1563, 1704, 1940, 1612, 1723, 1791, 2050, 1606, 1249, 3694, 1612, 1378, 1479, 1829, 1536, 2229, 1441, 2639, 2553, 1817, 2028, 1836, 1287, 1222, 1955, 1324]"
"[3419, 3330, 2455, 8077, 3064, 2400, 1864, 1353, 2112, 1990, 1506, 1752, 1451, 1926, 3868, 1576, 1448, 1815, 1673, 1463, 2039, 2444, 2033, 1495, 2168, 1625, 1960, 1296, 1585, 1385]"
"[2651, 2535, 2067, 5386, 3255, 2703, 5158, 1943, 1474, 3956, 1707, 1748, 2179, 3107, 3928, 1882, 1660, 1555, 6513, 1890, 2561, 1704, 1928, 4334, 2689, 1522, 1816, 5514, 4818, 1715]"
"[17527, 5588, 50884, 6806, 6834, 10639, 227774, 12789, 8817, 23073, 6368, 26283, 15985, 7894, 1910, 7280, 2157, 2029, 2442, 2082, 2025, 1934, 2078, 7238, 3804, 4660, 2298, 5685, 9543, 165789]"
"[5376, 4395, 7662, 7698, 3658, 4002, 5669, 6445, 3212, 6240, 86148, 5447, 6126, 3091, 26801, 6880, 6446, 3678, 8134, 11296, 3320, 2945, 3472, 9134, 3227, 3306, 3128, 8696, 8520, 5024]"
"[3547, 5537, 2185, 1724, 3938, 2427, 3529, 2336, 3967, 3773, 4669, 4063, 1679, 1661, 1827, 2719, 4712, 1681, 2316, 1600, 2424, 2595, 2312, 2767, 2144, 2967, 2244, 1132, 1554, 1756]"
"[1692, 1283, 1127, 1411, 1262, 1534, 1329, 1130, 1039, 1671, 1264, 1897, 1458, 1154, 696, 1197, 785, 848, 1052, 2207, 1860, 950, 973, 1878, 1407, 1547, 1062, 1444, 1468, 1320]"
"[12253, 6224, 2110, 3231, 5343, 2621, 8291, 4348, 5669, 1602, 3011, 2083, 3517, 4924, 2545, 2158, 3638, 4173, 10382, 2561, 3067, 2516, 2126, 2409, 1817, 2098, 3385, 1623, 3292, 3447]"
"[4556, 4964, 2042, 2824, 3021, 3156, 6016, 4049, 3475, 3018, 2959, 2955, 2219, 7648, 2183, 1904, 3360, 2045, 2245, 4550, 2238, 2837, 2784, 2552, 1918, 3004, 2413, 5700, 3951, 2339]"
"[27033, 2542, 3874, 2597, 3222, 2293, 2241]"
"[43329, 13007, 6289, 5583, 7029, 4216, 6239, 7807, 3668, 9105, 3823, 3358, 5492, 3982, 3252, 6490, 3159, 14294, 3641, 7037, 3234, 14155, 3433, 5255, 9610, 4361, 11887, 6901, 5811, 2508]"
"[9874, 5115, 2452, 2755, 2870, 3095, 2269, 2692, 4204, 3430, 4488, 2279, 4473, 1893, 5278, 2147, 4000, 2789, 2045, 2972, 3966, 3711, 2308, 2078, 3893, 2496, 3531, 3271, 4699, 2682]"
"[7366, 10143, 8253, 4442, 9712, 4176, 4710, 3836, 7317, 5908, 4578, 4862, 6350, 6903, 5863, 11440, 5441, 10669, 8965, 2581, 6344, 3030, 3928, 1854, 6263, 2090, 2587, 2020, 2017, 6196]"
"[2483, 2235, 2129, 1674, 1695, 1313, 1979, 1749, 2153, 11626, 3066, 2131, 1899, 29014, 3634, 1841, 1303, 1554, 1605, 1374, 1663, 1957, 1541, 802, 677, 1374, 1294, 1197, 1126, 1660]"
"[2713, 2635, 4215, 2229, 1915, 1791, 1957, 2496, 2854, 3437, 3286, 3186, 1804, 1982, 2189, 3644, 2602, 7200, 4118, 2153, 1504, 2128, 1887, 2442, 3126, 2657, 1438, 2108, 2425, 7201]"
"[9751, 5068, 65869, 2961, 4731, 3923, 3804, 4143, 4041, 2255, 2459, 2998, 5714, 1478, 3704, 4002, 2683, 2807, 4425, 3950, 2800, 2332, 2693, 1353, 4984, 3945, 3120, 2871, 2284, 1309]"
"[2198, 5159, 7212, 2773, 2471, 2352, 4268, 7383, 2100, 1655, 4547, 4122, 2313, 1537, 2586, 1619, 1726, 3246, 2129, 3916, 3022, 2309, 2999, 2335, 2075, 1957, 4244, 1371, 2397, 1680]"
"[10076, 3108, 6680, 2237, 3612, 2178, 2262, 3201, 2313, 7748, 1708, 1877, 2294, 2491, 1853, 1736, 1679, 2200, 4682, 1701, 1552, 1595, 2415, 4793, 1363, 2139, 1562, 1614, 1964, 2883]"
"[9730, 3959, 8138, 4783, 4092, 5030, 4124, 3697, 3736, 8533, 3327, 4319, 42452]"
"[7901, 3985, 12209, 3559, 6287, 6487, 3696, 4054, 2622, 4128, 11054, 3024, 7453, 4854, 3769, 11365, 4819, 3679, 5032, 10212, 2993, 5054, 3569, 3192, 3546, 7301, 2012, 2118, 4376, 2664]"
"[4620, 1693, 1899, 1583, 2614, 2571, 1744, 1841, 2551, 2059, 2097, 2033, 1640, 3200, 2588, 1753, 1510, 1837, 2309, 1460, 1466, 2242, 1738, 1909, 1890, 1786, 1998, 4698, 2131, 2383]"
"[8009, 1814, 2052, 5210, 2126, 1400, 1715, 4150, 6449, 2433, 3278, 3510, 1409, 1057, 1360, 3607, 1077, 5510, 1308, 1280, 1310, 1720, 4279, 4179, 6779, 3221, 3302, 1767, 1907, 2838]"
"[5653, 21308, 37, 87, 1813, 2844, 803, 1104, 1250, 2880, 1526, 741, 1021, 308, 1815, 696, 652, 675, 936, 663, 2178, 2624, 1343, 726, 687, 568, 840, 1101, 615, 1806]"
"[3626, 2963, 2843, 2116, 2009, 1456, 2007, 3184, 1140, 1324, 1078, 1577, 1208, 1203, 1363, 1340, 765, 1146, 1197, 1360, 1130, 723, 825, 1000, 1908, 959, 1806, 1371, 756, 1018]"
"[2229, 2310, 2747, 2816, 2370, 2334, 3042, 2646, 1538, 2379, 3487, 4121, 2858, 2946, 3364, 2238, 1786, 2563, 2244, 2789, 2401, 1281, 2957, 3035, 1955, 909, 3900, 2071, 1405, 2080]"
"[10623, 2095, 1773, 1666, 1844, 8727, 3124, 1792, 3625, 2059, 11357, 2623, 3195, 6825, 1981, 1710, 1640, 2198, 1871, 4166, 1431, 1429, 1634, 1528, 2441, 1553, 2534, 1354, 2551, 1733]"
"[4400, 852, 1625, 1729, 1450, 1158, 680, 703, 925, 1823, 1441, 2469, 1785, 2260, 2398, 1605, 1988, 1951, 2405, 2739, 2163, 1716, 2590, 3752, 3528, 1989, 1948, 1996, 2675, 1922]"
"[2613, 2115, 1883, 2368, 1637, 1921, 2816, 1457, 1425, 1815, 1515, 1532, 1784, 3641, 2062, 1971, 1496, 1132, 1169, 2276, 1551, 1183, 1281, 2234, 2487, 1391, 3137, 2451, 2176, 2057]"
"[3964, 2557, 3452, 3977, 2980, 2028, 2611, 2106, 1664, 1570, 1621, 2291, 1942, 2060, 2442, 4171, 2514, 1654, 4337, 2165, 1622, 2238, 2214, 1767, 3072, 2037, 4580, 6239, 51579, 2701]"
"[5846, 3062, 3223, 2624, 2670, 3254, 2523, 3453, 4160, 4624, 5127, 2866, 4351, 4055, 3480, 2980, 2363, 2541, 2695, 5032, 2627, 2700, 2187, 2842, 4079, 3584, 2660, 2726, 3101, 4952]"
"[3691, 5426, 2768, 7025, 5468, 2772, 6924, 2982, 3858, 2585, 3575, 3867, 2211, 2634, 3064, 2544, 1890, 5998, 4026, 2838, 3555, 4605, 6857, 5403, 27343, 2730, 3552, 2952, 4696, 5894]"
"[6114, 1176, 1405, 1151, 1027, 1053, 799, 1195, 468, 1572, 779, 1475, 1791, 3746, 1949, 1529, 1343, 1165, 1978, 1310, 30070, 822, 1108, 960, 984, 1217, 5189, 796, 1073, 1905]"
"[10550, 3813, 2309, 4227, 8332, 4456, 5775, 3372, 3992, 4106, 3571, 3892, 3044, 3405, 2635, 3027, 4820, 3008, 3074, 33463, 3980, 3345, 5187, 3292, 5020, 6205, 4860, 6696, 3623, 2719]"
