n_answers,n_correct_answers
30,27
30,27
30,30
30,29
30,26
30,29
30,27
30,30
30,28
30,29
30,27
7,6
30,20
30,21
30,22
30,30
30,29
30,30
30,27
30,28
13,13
30,28
30,27
30,30
30,9
30,24
30,13
30,29
30,12
30,28
30,28
30,17
30,26
30,13
30,25
30,27
30,26
30,8
30,15
30,28
30,28
30,19
30,16
30,17
30,20
30,18
30,25
30,22
30,13
30,13
30,13
15,14
30,25
30,9
30,30
30,18
30,23
30,18
30,30
30,21
30,28
30,27
30,6
30,21
30,24
30,26
30,20
30,28
30,12
30,16
30,16
30,14
30,8
30,21
30,14
30,21
30,2
30,16
30,16
30,8
30,20
30,27
30,10
30,26
30,19
30,1
30,17
30,15
30,20
30,10
30,14
30,29
30,20
30,22
30,14
30,16
3,3
30,15
30,13
30,23
30,21
30,30
30,17
30,12
30,23
30,30
30,27
31,9
30,13
30,30
30,27
30,30
30,29
30,29
30,27
30,27
30,16
8,8
30,18
30,28
30,19
30,30
30,25
30,25
30,8
30,28
30,23
30,26
30,23
30,30
30,24
30,28
30,15
30,29
30,29
30,30
30,29
30,21
30,30
30,28
7,5
30,22
30,27
30,27
30,27
30,28
30,27
30,26
30,26
30,22
30,25
30,28
30,21
30,20
30,28
30,29
30,24
30,21
30,19
30,24
30,22
30,27
30,26
30,28
30,26
30,19
7,6
30,23
30,16
30,20
30,19
30,16
30,18
30,27
30,11
30,11
30,18
30,21
30,9
30,26
30,14
30,19
30,7
30,23
30,24
30,15
30,22
30,22
30,17
30,29
30,27
30,19
1,1
30,19
30,27
30,29
30,15
30,25
30,26
30,28
30,19
30,29
30,23
30,24
30,24
30,19
30,15
30,26
30,23
30,11
30,27
30,20
30,26
30,15
30,29
30,9
30,21
30,29
30,21
30,19
30,25
30,19
30,29
30,17
30,28
30,21
30,18
30,19
30,22
30,17
30,28
30,29
30,28
30,20
30,29
30,17
30,12
30,13
30,18
30,25
30,19
30,23
30,21
30,30
30,24
30,12
30,25
30,23
30,27
30,28
30,11
30,22
31,28
30,12
30,27
30,25
13,8
30,5
30,28
30,3
30,9
30,21
15,5
30,17
30,30
30,28
30,28
30,12
30,30
30,19
30,29
30,22
30,27
30,24
30,30
30,28
30,23
30,27
30,24
30,20
30,21
30,18
30,26
30,11
30,29
30,27
30,24
30,18
30,25
30,26
30,16
30,22
30,10
30,27
30,21
30,25
30,26
30,19
30,24
9,9
30,15
30,12
30,23
30,28
30,20
30,26
30,28
30,24
30,22
30,25
31,10
30,23
30,29
30,27
30,29
30,25
30,21
30,28
15,13
30,27
30,25
30,24
30,28
30,28
30,25
30,16
30,21
30,26
30,26
30,26
30,23
30,28
30,27
30,27
30,17
30,25
13,10
30,21
30,26
30,23
30,28
30,26
30,23
30,25
30,25
30,22
30,27
30,21
30,26
30,26
30,18
30,26
30,25
30,24
30,22
30,26
30,25
30,27
30,25
10,5
30,20
30,28
30,28
30,29
30,5
3,1
30,27
30,25
30,26
30,28
30,27
30,26
30,21
30,29
30,30
30,27
30,12
30,5
30,22
30,26
30,24
30,18
30,25
30,18
11,11
28,26
30,18
26,18
30,24
30,24
30,27
30,30
30,29
27,21
24,24
26,21
23,20
24,22
21,1
23,15
3,1
23,22
25,25
2,1
24,16
24,17
2,2
23,21
22,21
25,15
22,16
24,15
22,21
26,26
24,24
18,8
19,15
13,12
18,14
20,16
20,17
18,13
23,20
20,18
17,15
22,20
18,13
20,19
22,22
30,29
28,25
25,21
30,28
30,23
29,24
30,21
28,28
29,26
25,21
18,12
16,16
15,14
13,12
10,7
13,8
13,13
11,5
10,7
11,11
11,8
11,5
9,2
8,7
9,6
8,6
10,5
9,7
10,7
8,7
8,7
8,3
9,8
9,9
8,4
9,4
8,8
8,8
7,7
8,5
9,3
9,9
7,5
10,8
8,6
7,5
7,5
10,10
7,5
7,7
14,8
9,9
10,9
11,9
7,6
9,9
8,8
17,17
11,9
8,6
25,24
13,10
18,18
9,6
8,8
11,11
10,9
16,14
12,10
11,9
10,6
8,6
7,7
7,5
7,5
7,6
7,7
4,2
5,2
7,5
6,5
6,3
7,2
6,2
6,3
5,4
5,3
5,2
5,5
6,5
5,4
5,3
5,5
6,5
4,3
4,4
4,2
5,5
4,2
4,3
5,3
4,3
5,5
4,3
4,3
4,3
5,3
3,1
3,1
4,4
3,0
3,3
3,2
3,3
3,1
3,3
3,3
3,2
3,2
3,2
4,4
3,1
3,2
3,3
3,2
3,2
2,2
2,1
3,2
2,0
2,2
2,0
2,1
2,1
2,2
2,2
2,2
2,2
3,2
3,0
2,0
2,2
2,2
2,0
2,2
2,2
2,2
