time
"[4365, 1993, 2368, 1371, 3543, 2882, 1934, 1715, 3017, 4275, 2233, 1560, 1536, 3245, 11139, 2446, 1888, 1502, 1816, 2199, 1307, 3963, 1716, 1891, 1476, 1564, 1580, 1542, 1330, 2041]"
"[2076, 1235, 870, 1517, 1823, 2155, 1456, 1218, 1114, 927, 719, 656, 786, 1228, 656, 1042, 3201, 739, 838, 686, 953, 795, 1368, 1517, 904, 973, 996, 1116, 2568, 1057]"
"[8015, 19200, 15275, 8779, 10226, 5217, 4911, 4321, 2151, 4263, 2308, 1603, 2264, 2138, 8355, 13528, 4882, 2774, 2024, 1900, 1898, 1638, 2214, 10666, 2205, 7271, 3300, 5089, 2507, 1685]"
"[44097, 8896, 12591, 4950, 3516, 2485, 10272, 3846, 5101, 15272, 2956, 17534, 2783, 86687, 13864, 8488, 102611, 15783, 19141, 11604, 2376, 1587, 5779, 9126, 7556, 31141, 4406, 33736, 1578, 2788]"
"[2925, 3447, 2737, 1792, 2466, 1516, 2951, 4590, 1616, 2139, 1989, 2452, 1540, 1705, 1264, 1259, 5137, 1651, 1276, 4476, 2963, 1049, 2231, 2539, 2442, 1538, 1958, 1593, 2440, 3290]"
"[4286, 3452, 2080, 2907, 1539, 1758, 1681, 4019, 1295, 2072, 2083, 1266, 3186, 2446, 2177, 2325, 2936, 3364, 4162, 6671, 3617, 1345, 2464, 1760, 2495, 2374, 5156, 1368, 1759, 1491]"
"[30021, 4350, 2397, 1478, 2373, 1117, 741, 1698, 1038, 2102, 1346, 602, 813, 720, 1093, 1642, 739, 680, 1372, 1081, 646, 2104, 2598, 782, 1430, 1288, 920, 1104, 807, 780]"
"[8347, 2746, 2128, 2608, 1511, 1340, 1886, 2779, 2573, 2148, 2027, 1308, 1910, 1202, 1825, 4249, 1940, 2774, 2089, 1833, 1695, 3775, 2146, 1720, 1834, 2693, 5389, 2075, 2723, 3056]"
"[56092, 3906, 18062, 3403, 1830, 2081, 1691, 2181, 7129, 3329, 1957, 1846, 1819, 3430, 3242, 2554, 4034, 4241, 4845, 1952, 4280, 3579, 5100, 6328, 2642, 3530, 2724, 3702, 2242, 4803]"
"[69191, 3799, 1740, 2446, 2491, 2843, 3142, 3841, 5754, 3110, 3298, 3690, 1406, 6803, 2678, 2889, 1790, 4747, 1818, 3695, 2164, 3610, 3147, 1909, 2332, 5005, 3259, 2637, 3289, 6482]"
"[3672, 2252, 1340, 1246, 1257, 1227, 1724, 1253, 2096, 1254, 1372, 1365, 1133, 2377, 1143, 1329, 1188, 1456, 1108, 4475, 1335, 1396, 1589, 1887, 1070, 1649, 1281, 1368, 3249, 1597]"
"[9765, 5315, 3899, 2018, 1736, 1369, 1899, 5625, 1651, 4072, 2082, 4728, 2482, 4506, 3206, 2893, 2071, 3593, 2123, 5325, 2167, 2676, 1746, 2902, 1849, 2851, 3116, 4408, 2204, 2234]"
"[9065, 7081, 7513, 1597, 1801, 5508, 1535, 8761, 2722, 5408, 1385, 4044, 3103, 3024, 2577, 1999, 3318, 9136, 2015, 4186, 6979, 5514, 3746, 2202, 2669, 2615, 2285, 3127, 5609, 2240]"
"[11728, 3108, 1673, 1373, 4500, 1480, 3274, 1504, 4110, 5866, 11497, 4835, 1856, 2735, 4513, 1783, 2885, 4649, 4666, 1606, 1737, 1055, 3571, 1575, 2047, 1383, 2234, 1838, 3718, 1561]"
"[5305, 1662, 1988, 3966, 2747, 2099, 2329, 1155, 2135, 1244, 1814, 1472, 1755, 2122, 1707, 4957, 1511, 1860, 1576, 2578, 1840, 2606, 4564, 2353, 1809, 1075, 1432, 1282, 1843, 1302]"
"[7212, 2458, 10015, 1508, 1727, 1191, 1216, 2514, 2185, 3919, 5392, 7120, 2416, 1893, 1424, 1303, 1198, 1936, 1376, 1892, 1995, 1649, 1428, 1043, 1286, 1445, 2414, 3222, 4428, 1761]"
"[2247, 2903, 1721, 1805, 3381, 3298, 4585, 4030, 2607, 4255, 3184, 3563, 1415, 1822, 2638, 2474, 2143, 2041, 1970, 1764, 1646, 1576, 1501, 1609, 1461, 3219, 1523, 1963, 1487, 2377]"
"[2428, 3330, 1757, 2202, 2453, 1784, 1834, 2127, 2592, 3697, 1539, 2221, 2628, 2151, 2682, 3155, 1489, 2940, 2647, 1821, 2333, 10859, 1762, 2366, 5124, 3016, 1995, 3109, 1915, 1675]"
"[13295, 5226, 3374, 3880, 629, 1232, 858, 4287, 2613, 2963, 2310, 1984, 4170, 2551, 5831, 2811, 1819, 2618, 2479, 3290, 2399, 3540, 4315, 4607, 5383, 5276, 4482, 2603, 4355, 18588]"
"[4776, 1800, 1702, 954, 1766, 906, 1119, 1141, 1430, 2388, 903, 2330, 6569, 2707, 1998, 1553, 1779, 1528, 2190, 1399, 1805, 1301, 1139, 1135, 1073, 1562, 1288, 2070, 1221, 1908]"
"[3733, 2227, 5334, 1645, 3458, 1912, 1696, 4385, 4650, 1993, 1678, 4074, 1902, 3751, 2441, 4375, 1799, 1730, 3267, 2371, 1578, 2107, 4708, 1925, 1921, 1604, 1426, 3203, 1834, 1709]"
"[2545, 1484, 1596, 1022, 1566, 953, 821, 1141, 1021, 1177, 1229, 878, 889, 822, 850, 1062, 1487, 1108, 1274, 950, 1190, 703, 1028, 1037, 1052, 1072, 890, 954, 1066, 1288]"
"[20136, 3644, 5962, 3293, 2134, 4951, 1699, 3738, 6988, 4577, 3273, 3512, 8806, 2899, 1910, 6957, 2004, 2365, 5028, 2330, 3154, 5455, 2616, 2136, 1479, 5561, 2403, 1704, 1983, 2337]"
"[5454, 4635, 2731, 2698, 1514, 1515, 1527, 2108, 2370, 2601, 2080, 3700, 1810, 2745, 1916, 2010, 1818, 1801, 3814, 2230, 1506, 2275, 2877, 2551, 3534, 2673, 1777, 2099, 3232, 2479]"
"[18664, 5076, 4729, 3542, 3390, 4032, 5248, 14275, 6436, 3907, 6698, 6724, 4958, 3498, 4822, 10037, 4589, 14574, 9248, 2088, 3568, 7265, 7551, 9578, 13851, 4975, 4889, 5515, 5602, 5148]"
"[4754, 10400, 3512, 2614, 6098, 3434, 1846, 2107, 2151, 4187, 1371, 3146, 2954, 2051, 1760, 2351, 3456, 3788, 3053, 1861, 3045, 4164, 2649, 2793, 3560, 2204, 2421, 2356, 5253, 1331]"
"[13819, 5297, 5319, 7828, 1675, 6832, 7426, 1999, 5821, 5739, 1963, 6097, 5106, 4830, 264, 5454, 3287, 13626, 2241, 3028, 5523, 3640, 3854, 2415, 7446, 3115, 6928, 1741, 2899, 1821]"
"[4163, 3408, 3808, 3187, 4548, 7262, 3244, 3456, 3811, 2569, 2700, 1494, 2221, 1247, 4158, 4880, 3749, 3985, 93517, 2464, 5197, 3321, 3886, 672, 2664, 3794, 3792, 2173, 32737, 12764]"
"[3473, 7985, 4137, 2864, 4009, 5810, 3869, 4144, 3682, 1832, 5739, 3755, 3629, 3076, 4161, 4326, 4266, 3890, 2952, 3894, 3435, 2816, 2821, 2562, 3025, 2757, 3174, 3214, 2832, 1645]"
"[3539, 3792, 2917, 4659, 3316, 8429, 2635, 4221, 1859, 8341, 4551, 4124, 2727, 1566, 3563, 3012, 5608, 8274, 3562, 1476, 2150, 3499, 2824, 2301, 2029, 3700, 11024, 1777, 2251, 5904]"
"[14940, 5844, 4311, 5049, 2957, 3979, 2591, 2108, 3205, 4494, 2539, 6450, 1998, 1826, 1579, 4100, 4308, 1971, 4904, 2467, 3417, 2237, 2512, 2476, 2011, 2680, 4114, 2596, 4344, 2094]"
"[9237, 5233, 29522, 6131, 5101, 9003, 6693, 2959, 6371, 14251, 7591, 2772, 12803, 12041, 5669, 15164, 7016, 6072, 5565, 7323, 6444, 3753, 11180, 11068, 2751, 19121, 6659, 3530, 4201, 3926]"
"[8161, 2756, 2401, 1971, 1636, 9039, 1563, 1955, 1904, 2104, 1713, 1559, 1589, 1893, 1732, 1561, 1679, 1616, 2145, 2174, 1927, 1834, 1934, 1702, 2715, 2725, 3045, 4970, 1516, 1309]"
"[10675, 9570, 2504, 19448, 3281, 5487, 2535, 3366, 2534, 4673, 3382, 2717, 8826, 4834, 3838, 18573, 2544, 4444, 4502, 2419, 2103, 4600, 2078, 2857, 2377, 2800, 7411, 2345, 3397, 2716]"
"[13622, 2561, 2297, 4503, 2583, 2087, 2614, 2356, 4175, 2740, 8138, 1925, 3178, 2533, 4028, 1461, 2365, 2755, 2029, 3439, 2715, 3173, 1536, 1524, 1930, 2407, 1397, 4423, 1557, 1789]"
"[3906, 4603, 1452, 3718, 2606, 4809, 3378, 2141, 6821, 2190, 2599, 4014, 1776, 2692, 2035, 3181, 2321, 2869, 2610, 4550, 2638, 3435, 1808, 2009, 3447, 1350, 3640, 1832, 2530, 1715]"
