n_answers,n_correct_answers
30,20
30,24
30,25
30,20
30,16
30,23
30,24
30,25
30,17
30,21
30,29
30,30
30,20
30,24
30,19
30,19
30,23
30,27
30,19
30,23
30,20
30,22
30,20
30,20
30,25
30,20
30,21
30,21
30,23
30,21
30,20
30,17
30,23
30,29
30,24
30,19
30,15
30,22
30,18
30,24
30,18
30,20
30,13
30,20
30,21
30,26
30,23
30,17
30,20
30,26
30,24
30,26
30,20
30,19
30,23
30,25
30,22
30,18
30,11
30,19
30,22
30,21
30,26
30,19
30,16
30,17
30,25
30,25
30,21
30,21
30,18
30,17
30,24
30,24
30,20
30,25
30,17
30,16
30,24
30,20
30,18
30,18
30,23
30,15
30,20
30,23
30,15
30,17
30,12
30,20
30,18
30,21
30,23
30,25
30,19
30,21
30,13
30,20
30,18
30,18
30,23
30,17
30,20
30,24
30,13
30,16
30,14
30,14
30,20
30,17
30,16
30,15
30,18
30,19
30,10
30,12
30,8
30,23
30,18
30,13
30,15
30,10
30,17
30,17
30,17
30,12
30,18
30,14
30,20
30,16
30,20
30,23
30,17
30,22
30,21
30,23
30,16
30,21
30,19
30,21
30,15
30,17
30,17
30,14
30,20
30,20
30,20
30,18
30,17
30,18
30,19
30,15
30,18
30,14
30,20
30,25
30,22
30,23
30,27
30,23
30,24
30,22
30,19
30,20
30,25
30,16
30,16
30,20
30,22
30,23
30,19
30,19
30,18
30,16
30,19
30,19
30,15
30,22
30,21
30,19
30,14
30,24
30,22
30,23
30,20
30,12
30,24
30,11
30,17
30,17
30,22
30,12
30,21
30,18
30,28
30,22
30,22
30,26
30,20
30,23
30,18
30,21
30,20
30,21
30,23
30,20
30,19
30,24
30,17
30,18
30,17
30,20
30,15
30,12
30,21
30,22
30,16
30,18
30,15
30,12
30,16
30,15
30,18
30,18
30,19
30,17
30,19
30,21
30,20
30,19
30,22
30,19
30,21
30,21
30,15
30,20
30,23
30,17
30,18
30,21
30,23
30,19
30,24
30,14
30,16
30,25
30,18
30,20
30,17
30,17
30,19
30,14
30,17
30,22
30,17
30,25
30,24
30,15
30,20
30,19
30,15
30,11
30,21
30,9
30,19
30,9
30,13
30,8
30,9
30,21
30,19
30,10
30,18
30,12
30,16
30,14
30,12
30,12
30,20
30,18
30,19
30,15
30,24
30,21
30,20
30,14
30,13
30,13
30,20
30,12
30,19
30,17
30,16
30,15
30,20
30,24
30,20
30,16
30,21
30,17
30,21
30,18
30,20
30,19
30,16
30,22
30,18
30,18
30,17
30,21
30,24
30,26
30,16
30,19
30,21
30,27
30,20
30,19
30,19
30,20
30,25
30,21
30,23
30,19
30,15
30,20
30,13
30,22
30,21
30,18
30,19
30,24
30,15
30,20
30,18
30,19
30,14
30,23
30,23
30,22
30,23
30,23
30,19
30,20
30,20
30,12
30,19
30,22
30,8
30,22
30,16
30,18
30,17
30,21
30,12
30,11
30,22
30,17
30,7
30,16
30,13
30,15
30,15
30,18
30,14
30,21
30,19
30,25
30,21
30,14
30,24
30,20
30,21
30,21
30,18
30,17
30,17
30,14
30,15
30,17
30,21
30,14
30,21
30,20
30,14
30,6
30,16
30,18
30,9
30,25
30,17
30,24
30,8
30,14
30,7
30,7
30,21
30,21
30,11
30,21
30,22
30,23
30,22
30,23
30,20
30,18
30,18
30,12
30,20
30,19
30,15
30,16
30,22
30,17
30,14
30,15
30,22
30,23
30,23
30,22
30,24
30,20
30,21
30,22
30,26
30,21
30,21
30,26
30,20
30,20
30,25
30,19
30,21
30,21
30,23
30,12
30,24
30,21
30,22
30,12
30,19
30,20
30,16
30,16
30,14
30,21
30,23
30,14
30,19
30,17
30,16
30,13
30,17
30,20
30,10
30,17
30,13
30,14
30,22
30,18
30,24
30,22
30,17
30,17
30,23
30,18
30,24
30,12
30,20
30,16
30,22
30,19
30,19
30,17
30,27
30,20
30,26
30,20
30,17
30,16
30,21
30,20
30,18
30,15
30,18
30,21
30,24
30,17
30,21
30,18
30,24
30,26
30,17
30,18
30,21
30,19
30,18
30,15
30,20
30,22
30,16
30,16
30,18
30,14
30,23
30,15
30,19
30,16
30,17
30,12
30,17
30,13
30,10
30,22
30,18
30,16
30,20
30,18
30,20
30,17
30,19
30,18
30,14
30,20
30,16
30,22
30,12
30,20
30,20
30,17
30,9
30,20
30,12
30,12
30,18
30,21
30,17
30,19
30,19
30,19
30,19
30,22
30,14
30,17
30,21
30,25
30,23
30,24
30,21
30,18
30,20
30,20
30,17
30,18
30,18
30,22
30,17
30,17
30,17
30,11
30,20
30,16
30,18
30,16
30,23
30,12
30,17
30,15
30,20
30,21
30,17
30,13
30,18
30,16
30,15
30,21
30,20
30,22
30,14
30,17
30,17
30,21
30,21
30,22
30,21
30,16
30,16
30,18
30,14
30,19
30,19
30,21
30,18
30,20
30,23
30,17
30,16
30,17
30,18
30,16
30,11
30,16
30,15
30,20
30,19
30,20
30,11
30,19
30,17
30,18
30,15
30,23
30,14
30,19
30,15
30,20
30,16
30,17
30,17
30,26
30,22
30,14
30,23
30,23
30,26
30,24
30,20
30,25
30,19
30,19
30,26
30,20
30,25
30,19
30,22
30,17
30,24
30,20
30,22
30,21
30,19
30,21
30,21
30,18
30,25
30,24
30,26
30,15
30,21
30,25
30,23
30,20
30,27
30,23
30,21
30,14
30,17
30,16
30,20
30,19
30,17
30,16
30,19
30,28
30,24
30,21
30,22
30,23
30,19
30,20
30,16
30,17
30,19
30,14
30,18
30,10
30,19
30,20
30,20
30,16
30,21
30,17
30,17
30,16
30,23
30,22
30,21
30,12
30,14
30,16
30,23
30,26
30,23
30,21
30,23
30,16
30,23
30,18
30,21
30,15
30,19
30,12
30,19
30,24
30,24
30,14
30,17
30,20
30,23
30,18
30,20
30,13
30,16
30,18
30,19
30,13
30,17
30,21
30,18
30,18
30,19
30,14
30,17
30,23
30,19
30,20
30,20
30,22
30,21
30,24
30,17
30,19
30,24
30,15
30,13
30,19
30,18
30,19
30,19
30,17
30,11
30,14
30,18
30,19
30,14
30,13
30,21
30,8
30,16
30,8
30,17
30,10
30,14
30,18
30,20
30,17
30,19
30,16
30,16
30,19
30,25
30,19
30,17
30,14
30,13
30,19
30,23
30,20
30,26
30,28
30,19
30,23
30,23
30,16
30,18
30,14
30,16
30,20
30,14
30,21
30,19
30,19
30,18
30,21
30,22
30,21
30,24
30,15
30,16
30,21
30,24
30,20
30,17
30,19
30,14
30,19
30,20
30,14
30,17
30,19
30,19
30,23
30,13
30,16
30,21
30,15
30,17
30,18
30,23
30,13
30,19
30,21
30,11
30,24
29,17
30,18
30,14
29,19
30,20
27,17
26,15
29,15
25,19
24,13
26,11
25,14
26,15
25,16
26,12
22,17
23,12
23,11
22,11
22,9
22,9
21,12
21,10
21,8
20,10
20,8
20,10
20,10
20,7
20,9
20,9
19,13
20,16
19,11
18,14
17,9
17,7
16,8
15,8
15,7
15,7
15,11
15,5
16,10
15,8
15,5
17,7
16,7
15,9
13,9
15,6
13,9
13,5
11,8
12,6
11,8
9,6
11,6
9,5
6,6
6,3
7,5
5,2
6,4
5,3
5,2
6,2
5,2
5,2
5,4
5,2
5,2
6,4
5,3
4,2
5,4
3,3
3,3
3,3
3,1
3,1
3,2
3,2
3,1
5,3
5,2
3,2
5,3
6,5
2,0
2,2
2,2
2,2
1,0
1,1
1,0
1,0
1,1
1,0
4,0
1,1
2,1
1,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
2,0
1,1
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,1
1,1
1,1
1,0
1,1
1,1
1,1
1,0
1,0
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
1,1
2,2
1,1
1,1
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,1
1,1
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,1
1,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
1,1
1,1
1,1
1,0
1,1
1,1
1,0
1,1
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
30,26
30,23
30,22
30,25
30,25
2,1
30,24
30,25
30,16
30,25
30,26
30,9
30,24
30,21
