left id,right id,count
435,22,5
453,142,80
257,113,5
463,127,15
217,116,24
360,52,9
333,109,42
324,125,80
401,142,80
234,36,12
83,162,5
277,36,12
187,12,80
166,123,5
304,162,5
220,31,5
1,52,5
244,114,9
130,123,80
194,52,80
289,52,21
430,102,5
151,127,12
120,144,5
425,133,32
267,137,34
63,23,80
169,127,5
434,127,5
380,90,34
458,22,9
257,254,9
46,108,15
258,18,18
304,173,24
220,261,59
106,41,12
430,189,80
6,147,34
140,41,12
434,211,80
360,189,34
244,228,80
234,281,49
151,279,9
277,213,54
463,215,5
28,152,5
458,292,21
222,123,80
278,108,80
289,309,9
217,297,5
361,18,5
258,251,32
19,52,12
439,7,21
151,451,9
388,31,71
361,283,80
345,149,80
175,39,80
380,232,5
425,273,47
267,281,80
143,125,5
432,133,15
333,249,5
223,27,12
154,137,9
360,468,5
380,369,5
439,236,5
86,52,5
333,460,5
188,116,66
248,7,5
439,353,5
391,79,9
80,23,54
89,27,5
432,207,21
223,254,80
73,52,9
376,1,24
445,135,5
30,22,5
391,207,5
445,274,29
171,137,15
234,382,9
59,109,80
391,394,29
81,39,5
277,386,34
432,468,24
234,151,15
26,79,15
408,147,5
340,82,5
465,73,5
104,108,15
178,120,5
136,28,5
349,36,5
263,74,5
156,52,12
408,279,5
340,304,80
465,183,56
71,154,34
66,131,5
178,285,80
8,102,12
349,289,5
263,279,80
244,354,5
408,428,5
445,439,5
126,133,5
26,220,5
9,18,44
349,446,21
156,183,5
244,151,80
153,66,15
313,162,44
119,67,5
388,316,15
426,143,80
425,377,5
54,1,9
26,457,24
411,90,21
269,86,29
156,354,44
20,134,21
328,90,5
373,108,5
277,151,5
53,6,32
328,304,29
50,120,80
78,74,21
14,1,15
388,460,9
373,273,5
277,234,39
293,81,15
24,171,9
188,232,29
16,134,80
411,285,26
443,376,80
373,358,80
415,73,5
26,151,34
276,171,80
240,104,5
229,140,5
415,243,9
158,131,34
269,289,42
42,108,18
293,220,12
240,224,61
229,292,80
20,258,9
9,308,9
313,285,80
20,462,9
415,442,15
210,147,5
156,151,5
268,166,5
465,336,12
13,67,5
411,442,34
400,99,9
9,386,9
20,151,5
210,219,80
221,41,5
42,251,5
328,369,59
417,133,5
268,236,80
327,134,5
20,234,5
221,271,5
42,330,15
400,236,5
415,151,5
9,156,80
417,308,39
327,215,12
438,12,9
422,78,18
221,391,32
400,390,5
415,234,5
26,234,9
320,83,5
397,119,34
415,20,21
438,260,5
416,140,9
277,20,18
42,151,24
26,20,80
230,23,18
300,62,12
170,320,39
438,322,9
355,135,5
165,22,80
422,327,9
96,54,5
416,463,5
355,215,9
438,151,5
198,122,5
111,158,5
300,172,80
4,113,80
455,67,18
438,234,5
414,120,12
318,147,21
415,277,9
230,285,56
299,74,5
198,233,47
362,18,5
146,27,5
221,151,5
42,234,5
438,20,5
240,369,5
362,284,5
417,395,5
253,154,5
68,106,9
221,234,9
444,135,5
437,83,5
414,291,5
397,217,5
42,20,12
438,277,5
240,156,12
362,411,5
455,298,5
253,285,5
413,53,5
444,214,80
286,134,9
328,151,5
437,295,9
182,54,5
221,20,9
397,378,21
414,333,26
438,415,26
318,289,12
170,416,9
21,46,9
455,411,12
252,154,5
413,297,9
328,234,5
182,298,24
337,106,5
240,234,5
372,81,18
221,277,80
226,153,5
252,214,80
328,42,5
385,376,5
170,408,5
337,289,9
238,137,9
103,7,5
226,295,9
413,462,9
287,46,54
328,277,32
61,55,5
448,154,26
170,151,54
84,153,5
299,231,80
402,120,5
337,468,9
226,465,12
168,73,9
238,173,80
359,68,5
402,292,80
286,224,5
409,435,80
372,315,5
40,43,5
437,449,80
359,283,5
339,14,5
447,54,5
95,143,5
270,135,12
372,445,18
208,24,12
384,127,21
163,24,12
307,7,12
182,360,12
105,376,18
359,446,39
339,172,24
447,186,9
226,156,5
148,106,15
226,240,59
387,13,42
448,253,24
270,295,80
117,90,5
208,253,80
307,196,80
182,156,5
447,451,15
51,122,12
328,415,5
199,108,5
145,119,9
384,298,5
393,120,80
182,234,9
129,85,80
328,438,9
350,248,5
339,413,5
199,186,5
384,398,5
65,139,26
105,230,5
323,46,5
350,281,80
17,385,5
429,54,5
199,427,80
287,230,5
241,140,9
423,80,9
448,334,5
429,183,80
105,451,9
323,190,9
396,146,5
17,271,5
287,454,5
359,151,5
448,151,5
241,279,26
423,297,5
