time
"[2348, 2006, 8386, 1807, 32775, 2410, 5043, 1706, 1913, 2213, 1742, 1386, 4469, 2155, 1147, 1653, 28141, 3448, 4447, 1222, 1390, 1976, 2486, 1557, 1192, 1853, 2178, 1929, 1649, 2081]"
"[2077, 3920, 982, 1979, 1904, 1265, 1198, 1022, 1243, 2142, 966, 1456, 839, 929, 1126, 1018, 1069, 981, 2652, 1097, 2330, 1392, 1052, 1361, 2003, 1363, 2548, 1718, 1694, 1478]"
"[3529, 2328, 2188, 2038, 1676, 2245, 2027, 1802, 1696, 1404, 1831, 1165, 1819, 1653, 1719, 1738, 2131, 1780, 1305, 1585, 1592, 1716, 2247, 1375, 2010, 1799, 1780, 1742, 2334, 1713]"
"[12701, 4016, 6784, 3564, 5595, 2897, 7856, 8237, 4303, 4886, 3479, 2902, 3129, 3582, 6273, 4564, 3998, 3215, 3194, 2870, 6229, 2280, 3035, 4607, 2583, 7599, 3226, 3342, 2442, 2954]"
"[4643, 2010, 1289, 1507, 1386, 2252, 1956, 1961, 1942, 6338, 3780, 1564, 2531, 1676, 3107, 2332, 3735, 2561, 4123, 3188, 3244, 2743, 3323, 2596, 2342, 1302, 3193, 6021, 1619, 3071]"
"[5285, 1782, 2008, 1495, 4079, 4145, 1052, 1231, 766, 1580, 1059, 949, 1041, 1985, 1030, 1377, 1359, 1986, 2411, 1310, 997, 1371, 1259, 873, 3119, 1788, 1520, 2339, 1967, 1338]"
"[1977, 803, 812, 2927, 1272, 1059, 624, 528, 233, 24, 1147, 288, 235, 427, 149, 19, 717, 338, 387, 1532, 3777, 529, 355, 940, 1194, 1139, 776, 1431, 794, 521]"
"[4920, 2830, 2093, 3515, 3380, 3242, 3443, 3416, 2532, 3853, 2564, 2571, 3381, 2858, 2562, 4255, 2629, 2554, 2192, 3604, 7167, 4580, 3606, 2548, 3398, 3902, 2982, 2971, 2228, 2680]"
"[2843, 2008, 1471, 11034, 1628, 2136, 3579, 2282, 2244, 1614, 1739, 7198, 2433, 3454, 2613, 2455, 1454, 2180, 2408, 1513, 3982, 3117, 1472, 2910, 1574, 2427, 1274, 1204, 6867, 1930]"
"[3032, 1404, 1282, 4267, 3299, 2415, 2956, 1483, 1626, 2281, 2168, 6035, 1401, 4375, 1273, 8896, 4880, 4380, 1932, 4249, 4602, 1574, 1331, 1909, 1596, 6720, 1916, 3494, 1951, 3396]"
"[14240, 2267, 3482, 7089, 5564, 2825, 4555, 4095, 13059, 3624, 5440, 26149, 4076, 2760, 10598, 7466, 14319, 3587, 6255, 2410, 3066, 4615, 4188, 3261, 3857, 5803, 2870, 2350, 6111, 1957]"
"[4728, 7744, 5268, 6478, 2481, 2396, 2798, 3670, 2955, 6544, 4598, 4748, 15801, 4085, 3193, 3795, 4181, 2161, 2201, 2637, 2046, 3485, 9715, 2047, 4642, 5135, 2821, 3058, 4460, 11816]"
"[3524, 1657, 1311, 2741, 1305, 1371, 8642, 3618, 1550, 4080, 2354, 1431, 5891, 2196, 2999, 1906, 6805, 2000, 1696, 1482, 1308, 3231, 1196, 1730, 1491, 2336, 1744, 1303, 5221, 2388]"
"[13448, 10549, 3517, 4850, 5425, 5154, 15818, 8840, 3700, 5493, 3236, 2680, 2975, 5712, 3026, 5940, 3947, 5042, 33725, 4193, 6774, 2574, 3388, 2770, 3345, 2853, 5639, 4256, 3822, 4330]"
"[17064, 2572, 2277, 120, 106, 111, 88, 90, 102, 124, 62, 120, 105, 120, 102, 118, 113, 94, 110, 107, 135, 269, 132, 19, 144, 169, 149, 144, 145, 130]"
"[3962, 2794, 7056, 6078, 2067, 3990, 3502, 5678, 10914, 2876, 30354, 3956, 4433, 3939, 2876, 3151, 2206, 7394, 6685, 4184, 7977, 8324, 11741, 2526, 5976, 3537, 2653, 2341, 2400, 3104]"
"[12366, 5214, 5429, 5762, 4979, 3029, 46134, 4421, 9265, 5158, 6894, 14159, 3384, 2591, 7254, 3596, 10848, 4104, 3832, 5724, 4086, 3084, 13098, 2902, 10025, 3268, 3490, 3273, 4520, 2727]"
"[3420, 2047, 2217, 2300, 183, 1154, 1506, 952, 888, 1715, 8539, 1372, 2102, 2451, 2255, 2168, 2453, 3037, 2125, 1898, 3716, 1539, 1623, 2061, 2139, 1339, 1691, 2803, 1402, 1358]"
"[6541, 1866, 1653, 2365, 1847, 1948, 2444, 1769, 2193, 1633, 1824, 2060, 2128, 1645, 2949, 1481, 2150, 1660, 2061, 2243, 2847, 5697, 2330, 1421, 2495, 1369, 1564, 1427, 2764, 1758]"
"[3118, 1700, 1859, 1657, 2843, 2141, 2139, 12350, 1366, 1584, 1206, 3077, 2956, 2261, 3091, 1748, 3848, 1299, 1805, 2318, 1697, 5745, 2552, 2431, 1779, 1618, 2137, 1372, 2164, 2041]"
"[4356, 1339, 1734, 1494, 1512, 1637, 1778, 3475, 2279, 2285, 3577, 1576, 1408, 1638, 1603, 1607, 2422, 1189, 2348, 1549, 1830, 1979, 1875, 1620, 2117, 1557, 1328, 1796, 2166, 2831]"
"[3403, 1570, 1337, 2829, 1333, 1380, 1440, 1263, 1648, 1784, 1652, 1652, 918, 1210, 1186, 1178, 12071, 1270, 1121, 1173, 2097, 841, 1212, 1053, 1242, 53033, 1368, 1323, 1476, 1641]"
"[6831, 2487, 548, 240, 151, 229, 42, 31, 101, 161, 44, 70, 36, 108, 212, 94, 251, 130, 262, 26, 46, 158, 238, 265, 5671, 297, 203, 66, 346, 384]"
"[2929, 1442, 1698, 3684, 2204, 2272, 2108, 4024, 1423, 12704, 2280, 1799, 10699, 6000, 1619, 3789, 2674, 1961, 2172, 2267, 1891, 5279, 2928, 2064, 8454, 13505, 2807, 2331, 2551, 2378]"
"[3276, 1809, 1484, 858, 689, 250, 97, 157, 272, 20, 4, 202, 63, 409, 448, 472, 143, 313, 333, 171, 930, 286, 884, 1270, 1056, 988, 31, 919, 180, 248, 476]"
"[13719, 6361, 11484, 2598, 7070, 17850, 4074, 5511, 6452, 2918, 5438, 6973, 3654, 6499, 3089, 4031, 3545, 3606, 3485, 3296, 5037, 2728, 3453, 3454, 3903, 2884, 3182, 3298, 2814, 3915]"
"[7955, 27598, 24146, 3015, 8320, 4002, 2713, 3559, 7545, 3441, 2677, 3726, 2409, 6585, 2180, 1823, 1892, 2249, 6236, 2973, 3143, 2226, 3556, 2149, 2698, 3495, 2923, 4213, 4324, 3810]"
"[8964, 4878, 3117, 3924, 2560, 3550, 4952, 8852, 3461, 4322, 7603, 21244, 5231, 1856, 1794, 3076, 6874, 6309, 3225, 4267, 2358, 1818, 3334, 2827, 11348, 1532, 1566, 2610, 1984, 1476]"
"[4619, 2375, 1816, 2235, 1816, 2479, 1743, 1954, 1877, 2268, 2401, 2838, 2088, 1633, 4659, 1627, 2553, 1775, 5917, 4106, 4381, 1777, 1341, 1427, 1739, 1246, 927, 1565, 1575, 1672]"
"[7842, 4099, 4946, 3475, 5179, 2007, 2468, 3518, 2806, 2257, 4204, 3906, 2033, 3713, 2099, 3642, 3926, 2829, 3322, 8411, 1698, 2311, 2315, 3573, 5185, 3956, 5593, 5714, 3554, 4778]"
"[6736, 4332, 2596, 4074, 8149, 5077, 2486, 7417, 4795, 6311, 3359, 4369, 4748, 4398, 8141, 2177, 9429, 4750, 6691, 2680, 4471, 9476, 2343, 3888, 3500, 4159, 3991, 3282, 13108, 8064]"
"[8618, 23615, 18208, 14208, 7222, 6475, 5180, 5130, 5586, 5356, 7404, 13633, 10670, 9587, 8157, 6471, 6607, 7195, 4113, 5453, 5992, 4597, 15033, 43055, 19843, 4355, 18809, 6825, 3627, 1902]"
"[29098, 7506, 1851, 2867, 1997, 1740, 8234, 3865, 3111, 3713, 2253, 4216, 5979, 3985, 1882, 2336, 4101, 3124, 8752, 1567, 1949, 2144, 1855, 2276, 2510, 3432, 2365, 2128, 2415, 1518]"
"[45393, 6603, 4199, 4247, 4604, 4894, 3731, 4098, 5008, 5371, 4301, 4177, 4279, 4230, 3345, 3472, 20780, 3810, 3113, 4554, 6175, 3639, 4621, 3541, 3332, 5392, 6226, 5329, 3183, 4981]"
"[6374, 2612, 2749, 2348, 2768, 5673, 2978, 2857, 4177, 2098, 2761, 5356, 2613, 2239, 2431, 2062, 2434, 2758, 2511, 2067, 2092, 2373, 2061, 2287, 4087, 3164, 2722, 4604, 2624, 3872]"
"[7615, 8358, 4141, 3381, 2875, 2367, 3805, 3310, 4008, 3050, 2822, 2764, 2954, 3176, 5212, 3231, 4261, 3186, 3104, 3693, 3096, 8281, 3353, 3701, 3212, 6150, 614, 3225, 2953, 3346]"
"[2866, 2520, 4424, 4431, 3270, 2644, 7117, 2328, 1581, 2252, 1469, 2600, 2164, 2949, 4019, 2082, 1587, 3362, 3649, 2414, 3130, 3640, 6809, 5718, 2633, 2247, 1886, 1694, 1909, 2065]"
"[5009, 4065, 3991, 1990, 2233, 2448, 4504, 2752, 2482, 2952, 2130, 2088, 2578, 3062, 2914, 4029, 4838, 3113, 4313, 4245, 3076, 1781, 2358, 3113, 2577, 2191, 2463, 2563, 3301, 5383]"
"[5366, 5290, 5992, 24991, 3237, 8519, 4551, 6788, 4471, 3518, 5751, 4995, 4193, 5290, 4983, 7499, 5586, 3707, 4833, 8662, 9637, 6675, 5019, 5863, 5134, 3924, 7215, 7062, 4822, 6672]"
"[32388, 3795, 5473, 6962, 13253, 2017, 7131, 1885, 2440, 4542, 65344, 2988, 3883, 2235, 10494, 3889, 2811, 9267, 32928, 2114, 2980, 4372, 1910, 2502, 2212, 2456, 2076, 3260, 2333, 2961]"
"[6243, 3477, 2515, 1871, 4296, 2660, 3839, 2278, 3842, 2492, 2477, 1972, 4320, 2037, 2409, 1374, 2429, 2279, 2361, 1341, 1921, 3129, 1962, 1730, 2001, 1441, 1816, 1923, 3412, 2699]"
"[21404, 5243, 3782, 2926, 2610, 5582, 9657, 4012, 14672, 2697, 2713, 3460, 3235, 3893, 5600, 4037, 3214, 3138, 4530, 3555, 3233, 2388, 2740, 2422, 5135, 3153, 3351, 3588, 3275, 3656]"
"[4208, 3274, 3120, 4219, 7414, 28868, 2622, 3041, 4389, 2372, 2630, 1967, 3178, 2628, 3331, 2209, 2376, 2041, 2521, 2366, 5127, 1591, 2503, 2683, 2302, 3061, 2957, 2070, 1917, 2758]"
"[3523, 3237, 2267, 2560, 7049, 2616, 1535, 2277, 2053, 2568, 2811, 44241, 1824, 1556, 2351, 11877, 2463, 1944, 1860, 2689, 68278, 1582, 2382, 2242, 1864, 1416, 1926, 1723, 1287, 1789]"
"[9701, 5065, 5416, 3145, 4142, 2521, 3031, 3204, 8115, 3894, 3300, 6183, 2986, 4228, 2433, 3699, 2639, 2692, 3620, 2323, 3078, 2995, 2599, 3308, 2402, 2865, 2630, 2381, 3580, 3121]"
"[21260, 3161, 3045, 2375, 3291, 2048, 3925, 3021, 3323, 3437, 4967, 1681, 4990, 3297, 2093, 4232, 13639, 4461, 2092, 2919, 2560, 2651, 1878, 2578, 2120, 2152, 2822, 4879, 2018, 1674]"
"[13933, 3378, 3819, 3042, 7061, 3122, 3118, 2712, 2475, 2640, 2340, 2957, 4045, 2795, 3520, 2846, 2933, 2857, 2204, 2005, 2445, 2736, 2556, 2972, 3118, 2187, 3101, 3007, 2654, 2675]"
"[13856, 2378, 6677, 2659, 2209, 5360, 2122, 2360, 1592, 2118, 2474, 1182, 1721, 10530, 1650, 2318, 2490, 1857, 1396, 2397, 2202, 3262, 13360, 3887, 2794, 2113, 1399, 1880, 2154, 1219]"
"[7911, 3046, 3217, 2750, 3059, 2078, 5355, 1522, 4923, 2640, 3662, 4180, 2707, 2108, 1727, 1392, 2577, 5909, 3338, 2364, 1663, 2102, 2522, 1999, 6973, 1433, 3213, 2606, 1253, 1450]"
"[10988, 10296, 4789, 5337, 12283, 5853, 7083, 4987, 7072, 4068, 3055, 3819, 4531, 4052, 3839, 4181, 5380, 4200, 4657, 4644, 4626, 3233, 4476, 3725, 3437, 3398, 6301, 6856, 5326, 5864]"
"[46857, 10271, 6491, 4959, 2775, 4536, 2369, 2477, 3000, 4267, 4682, 3299, 4497, 4124, 4725, 2262, 4006, 4733, 2966, 2093, 2295, 4634, 3420, 4746, 3016, 2202, 3430, 3866, 3455, 3262]"
"[65999, 4153, 4596, 2651, 4699, 7346, 18803, 9231, 10579, 6338, 3872, 7447, 6237, 4040, 10001, 6567, 5295, 7411, 6132, 4142, 3986, 13435, 2929, 6608, 4425, 4818, 7864, 2630, 4633, 4769]"
"[6893, 3184, 7109, 2964, 3140, 3394, 3139, 2871, 3718, 6800, 3573, 3324, 2986, 3036, 3308, 5246, 2650, 3810, 2506, 3399, 2507, 2114, 5244, 2631, 2272, 3122, 2552, 2910, 2339, 3662]"
"[8587, 4405, 12042, 4799, 3093, 5527, 2532, 2084, 4942, 2015, 3272, 4179, 3028, 1887, 3098, 10905, 8672, 1642, 8310, 3331, 4996, 2430, 4683, 1616, 1961, 3956, 2233, 2852, 3558, 2651]"
"[3866, 2370, 2229, 3335, 1950, 2388, 1847, 2341, 1634, 2557, 2048, 1875, 2660, 2868, 2830, 2077, 1835, 2134, 2518, 2356, 2898, 1453, 2367, 1730, 2106, 2923, 1749, 2391, 1472, 1737]"
"[18988, 2695, 4419, 8086, 6461, 10860, 8957, 7270, 4172, 14169, 12630, 4866, 3897, 5653, 5851, 2680, 3295, 3267, 2020, 2719, 2844, 5512, 4754, 2520, 2403, 3005, 5232, 3342, 2458, 2019]"
"[10961, 6771, 8147, 5069, 15480, 6112, 7944, 14474, 5638, 9160, 8751, 9645, 4500, 3869, 6692, 6481, 3309, 4672, 5301, 4015, 4838, 3418, 3169, 2518, 2891, 3590, 6285, 6690, 8734, 4334]"
"[27890, 5256, 5727, 7871, 29131, 4015, 6079, 4280, 6175, 78315, 7105, 3843, 4144, 4289, 3393, 4173, 4608, 4289, 3313, 2590, 3373, 2752, 4266, 4160, 3846, 3726, 3424, 3282, 3138, 2026]"
"[25015, 5477, 3249, 3805, 3218, 1790, 1656, 3651, 11701, 175, 7136, 3791, 2431, 1212, 1948, 3415, 2094, 2068, 2433, 3150, 1599, 1938, 2491, 3118, 1478, 1409, 1662, 2584, 2853, 1661]"
"[9851, 5403, 2489, 4249, 3050, 2319, 2511, 15472, 3306, 3141, 8909, 6309, 7498, 3479, 2086, 5485, 12799, 3592, 3719, 2994, 3032, 3238, 5548, 5993, 3095, 5897, 2480, 3629, 2997, 3226]"
"[12819, 4406, 6271, 9287, 4008, 5945, 7296, 9559, 3373, 4437, 4730, 4730, 7603, 9933, 6519, 3627, 13532, 2025, 2428, 4446, 3986, 2065, 2035, 6414, 5268, 2025, 2313, 2956, 2819, 3203]"
"[2891, 2119, 2078, 3031, 2723, 2235, 1675, 1913, 3026, 2480, 4713, 3036, 2678, 3858, 2714, 2954, 2400, 1900, 3323, 5657, 3499, 3058, 2169, 2972, 2998, 3017, 2796, 2583, 4919, 3653]"
"[7764, 3462, 4240, 3486, 3228, 2857, 2743, 2866, 2908, 2757, 3072, 2818, 3583, 3543, 4223, 3393, 6044, 2904, 3006, 4039, 3309, 2675, 4057, 7985, 5271, 2637, 6287, 4312, 3697, 3391]"
"[9380, 2826, 2856, 3421, 2482, 1994, 111770, 1809, 2155, 4364, 3386, 2232, 2207, 2546, 2057, 5869, 18850, 7627, 2110, 2938, 8080, 1754, 2300, 3349, 2119, 3794, 2144, 3026, 2679, 3651]"
"[37379, 2787, 4260, 5429, 2070, 2141, 2254, 2135, 2452, 1933, 2566, 2587, 2991, 1451, 3239, 2252, 3255, 33070, 1847, 5241, 6919, 2058, 2625, 1676, 1561, 1884, 2236, 2576, 2057, 3904]"
"[35857, 4754, 4652, 3994, 3730, 5694, 3863, 3577, 5525, 6998, 4021, 5789, 4586, 7718, 6892, 8243, 3388, 4513, 4087, 3234, 2806, 2798, 3030, 4798, 2899, 2451, 7036, 2483, 2411, 3835]"
"[7720, 6635, 8018, 3572, 2993, 5224, 6673, 11737, 3844, 4511, 3785, 8514, 6199, 8013, 16030, 4876, 2719, 5337, 2744, 7088, 2713, 5293, 15307, 5050, 2551, 5672, 3429, 3398, 2083, 4443]"
"[14392, 13132, 9964, 17401, 16479, 8744, 6326, 7276, 5474, 5731, 8119, 8903, 4221, 3782, 5321, 12598, 4541, 3786, 6361, 9266, 3892, 5272, 4707, 4378, 9447, 3954, 6094, 4795, 4940, 3190]"
"[9306, 2252, 4713, 1495, 1535, 2328, 2747, 2165, 2401, 2775, 4395, 1456, 2864, 1503, 2385, 2030, 2678, 1289, 3944, 3119, 1717, 2863, 2261, 1855, 2169, 1996, 2342, 1987, 3405, 1616]"
"[3742, 3489, 2522, 5931, 2718, 1495, 3259, 2224, 1506, 2554, 2505, 2301, 1971, 3891, 2570, 2029, 3545, 2489, 3687, 3602, 2686, 1501, 2219, 5086, 1802, 1948, 4026, 4818, 2750, 2983]"
"[7656, 3473, 2861, 2389, 3818, 4349, 3306, 2004, 2003, 7630, 3249, 2680, 4553, 1634, 3210, 1880, 2197, 4652, 4181, 4047, 1939, 3389, 11112, 3597, 1756, 3177, 1719, 1897, 1698, 3788]"
