n_answers,n_correct_answers
30,26
30,18
30,18
30,18
30,25
30,20
30,13
30,19
30,19
30,24
30,27
30,11
30,17
30,15
30,12
30,20
30,22
30,18
30,20
30,26
30,19
30,23
30,18
30,22
31,10
30,25
30,18
30,19
30,22
30,17
30,19
30,11
30,24
30,14
30,18
30,20
30,16
30,19
30,15
30,16
30,24
30,18
30,18
30,18
30,18
30,17
30,16
30,14
30,20
30,14
30,20
30,20
30,21
30,17
30,20
30,13
30,20
30,16
30,10
30,9
30,16
30,12
30,19
30,19
30,16
30,17
30,20
30,22
30,20
30,21
30,19
30,20
30,19
30,13
30,16
30,25
30,21
30,20
30,18
30,22
30,18
30,16
30,20
30,21
30,21
30,16
30,19
30,21
30,20
30,14
30,18
30,15
30,19
30,20
30,17
30,18
30,16
30,17
30,21
30,20
30,24
30,21
30,14
30,14
30,18
30,23
30,24
30,21
30,17
30,24
30,16
30,21
30,18
30,18
30,22
30,21
30,25
30,12
30,16
31,13
30,14
30,22
30,25
30,20
30,10
30,17
30,16
30,14
30,21
30,21
30,20
30,18
30,21
30,26
30,11
30,12
30,16
30,20
30,14
30,19
30,23
30,19
30,18
30,17
30,22
30,15
30,16
30,13
30,12
31,16
30,19
30,18
30,14
30,22
30,17
30,23
30,22
30,22
30,23
30,15
30,14
30,20
30,18
30,14
30,19
30,14
30,19
30,18
30,19
30,22
30,22
30,17
30,16
30,16
30,21
30,19
30,14
30,20
30,15
30,14
30,26
30,17
30,23
30,19
30,17
30,23
30,19
30,22
30,19
30,17
30,19
30,19
30,22
30,23
30,28
30,20
30,18
31,20
30,16
30,17
30,16
30,19
30,19
30,22
30,21
30,19
30,20
30,17
30,18
30,21
30,17
30,19
30,25
30,20
30,16
30,18
30,15
30,26
30,13
30,22
30,21
30,25
30,21
30,18
30,11
30,23
30,16
30,24
30,19
30,19
30,18
30,10
30,18
30,23
30,13
30,20
30,17
30,14
30,18
30,21
30,15
30,20
30,26
30,16
30,13
30,14
30,20
31,17
30,18
30,15
30,19
30,25
30,13
30,20
30,15
30,12
30,13
30,23
30,15
30,22
30,24
30,17
30,19
30,26
30,21
30,16
30,24
30,25
30,14
30,20
30,16
30,16
30,19
30,15
30,22
30,23
30,20
30,17
30,15
30,24
30,19
30,13
30,21
30,19
30,16
30,20
30,22
30,14
30,19
30,15
30,21
30,9
30,17
30,14
30,14
30,15
30,18
30,13
30,11
30,14
30,22
30,12
30,16
30,18
30,22
30,14
30,18
30,14
30,20
30,19
30,14
30,22
30,16
30,14
30,19
30,16
30,23
30,15
30,19
30,13
30,18
30,17
30,17
30,22
30,18
30,25
30,19
30,23
30,16
30,15
30,18
30,12
30,20
30,23
30,18
30,14
30,22
30,19
30,21
30,15
30,15
30,21
30,12
30,20
30,13
30,15
30,17
30,21
30,15
