time
"[13191, 3421, 3317, 3781, 1863, 6280, 1802, 5961, 4055, 2199, 5672, 3857, 1380, 4131, 4212, 2215, 1862, 2823, 4719, 2138, 4674, 5021, 1918, 2098, 1722, 1938, 1137, 2558, 2834, 2258]"
"[7072, 4113, 5497, 14719, 3868, 8036, 4765, 4014, 5069, 2301, 3462, 6120, 2056, 4391, 9302, 2500, 5019, 2884, 2105, 5842, 5544, 1923, 1955, 2219, 4420, 5490, 2569, 1965, 2363, 2046]"
"[4178, 2382, 5205, 3275, 2326, 1810, 2847, 2204, 2261, 2774, 4261, 2196, 2281, 4007, 2842, 1814, 1689, 2453, 1563, 2725, 2031, 2107, 2941, 2170, 4493, 2348, 2150, 2424, 2914, 3042]"
"[3610, 1984, 1870, 5290, 1790, 4365, 2075, 1996, 2367, 1449, 2021, 1913, 3681, 2984, 3284, 1737, 1562, 2480, 1187, 1718, 1994, 1989, 2025, 1531, 1988, 1663, 6503, 3588, 2036, 1910]"
"[6392, 3667, 1330, 2059, 2323, 1181, 1261, 817, 1334, 4337, 2319, 2657, 11786, 1122, 944, 1190, 2628, 8997, 1119, 931, 947, 2106, 1484, 1497, 1723, 1325, 7885, 940, 4120, 1091]"
"[6654, 3132, 4403, 2768, 3092, 2494, 2501, 3882, 3340, 5242, 3920, 2812, 2228, 3596, 2052, 2632, 2280, 2651, 3377, 2098, 1780, 3674, 2968, 1901, 4318, 2582, 2314, 1837, 2181, 2399]"
"[13186, 5688, 4148, 6109, 4552, 3008, 3346, 2778, 3774, 3046, 2826, 3816, 5680, 4067, 6664, 2218, 2940, 3735, 6447, 2563, 1890, 4115, 2630, 3195, 1656, 1876, 2047, 1877, 1746, 5721]"
"[3771, 2319, 5463, 2712, 2850, 4428, 3594, 4318, 2094, 2621, 2465, 1861, 2626, 3307, 1854, 1797, 1615, 2260, 1890, 4574, 3256, 1482, 3791, 1422, 2876, 2541, 1690, 2123, 2127, 1607]"
"[8776, 8965, 1860, 1940, 2502, 2079, 1843, 2317, 2976, 3744, 1956, 3316, 1519, 4316, 2689, 1362, 1857, 2415, 2492, 1921, 2358, 1993, 1492, 1146, 1546, 2093, 1501, 1216, 1211, 1847]"
"[3389, 1650, 3040, 2040, 1731, 1517, 3783, 1349, 1160, 1617, 1995, 2578, 2326, 1444, 2112, 1800, 2126, 1936, 1650, 1662, 2873, 1911, 1849, 2332, 1283, 1475, 1933, 3760, 1252, 2588]"
"[7463, 2600, 5647, 1839, 1524, 1743, 1814, 2941, 5007, 2778, 3703, 1719, 2714, 2360, 1619, 1845, 2333, 2609, 2482, 2955, 2113, 6345, 2304, 1184, 4373, 2274, 3023, 2426, 5652, 2216]"
"[3105, 1850, 1555, 1998, 1582, 1395, 1725, 1573, 1304, 1196, 2006, 1377, 2049, 1435, 1812, 1921, 1680, 2324, 1428, 1386, 1557, 1696, 1541, 3175, 1508, 1381, 1353, 1608, 2712, 1778]"
"[4673, 8902, 2797, 9891, 2296, 1857, 1580, 2544, 1778, 2554, 1739, 7432, 2419, 2348, 2555, 5891, 3681, 1762, 1476, 4681, 1946, 4831, 1692, 2038, 2496, 1840, 2064, 1638, 3013, 17178]"
"[4469, 4014, 4507, 2942, 3146, 1365, 2339, 7097, 1250, 3713, 3622, 2692, 2496, 2239, 1054, 3297, 3111, 2983, 2530, 1706, 2242, 3783, 3198, 2213, 3283, 1923, 2106, 2291, 2193, 4672]"
"[5219, 2346, 1690, 2650, 2359, 1926, 1537, 1346, 9767, 7559, 1628, 1497, 1455, 1408, 1686, 1101, 1765, 1716, 2059, 1170, 1339, 1209, 1339, 1402, 4743, 1272, 1222, 1571, 1768, 1398]"
"[74205, 7772, 27473, 45854, 4855, 14488, 3238, 2694, 4114, 7037, 4635, 10278, 12943, 5298, 6262, 24025, 6433, 2271, 5338, 2583, 3828, 1844, 3019, 8982, 6606, 2738, 2565, 9975, 14368, 8103]"
"[4721, 3551, 3178, 3285, 4265, 3358, 2630, 3415, 3575, 3488, 1991, 2107, 2495, 2639, 2563, 2636, 4080, 5464, 1812, 5196, 2640, 1840, 4356, 2789, 2640, 3701, 1953, 2868, 5513, 2337]"
"[4029, 2167, 1582, 2477, 1676, 1619, 1142, 1339, 2364, 1655, 2583, 2057, 3841, 2558, 3264, 1593, 2005, 1250, 1933, 1839, 1841, 2694, 2696, 1376, 2049, 1705, 2031, 2333, 3392, 2866]"
"[10730, 2302, 1614, 1478, 2946, 1119, 1076, 1208, 3035, 1504, 7766, 3873, 2121, 2013, 2088, 3895, 2673, 4795, 1763, 4276, 1424, 2115, 1578, 1949, 3975, 1248, 1630, 1770, 2723, 2508]"
"[59059, 4026, 2256, 3087, 1573, 2077, 1989, 2661, 2007, 4067, 6267, 2414, 2488, 2300, 1525, 2320, 2915, 1863, 3390, 2669, 3962, 4601, 1873, 3186, 2545, 3281, 5464, 1821, 4193, 3326]"
"[5386, 3810, 2634, 2650, 1819, 4324, 2518, 2271, 2160, 2540, 1304, 2113, 1685, 2159, 3880, 2144, 2393, 2645, 1787, 1590, 3152, 1684, 1863, 2391, 1933, 1909, 2214, 1689, 2223, 1788]"
"[13030, 4985, 5163, 2768, 1935, 5289, 5719, 3832, 2855, 6491, 3801, 5296, 1991, 2111, 4734, 8573, 3606, 4834, 3237, 5080, 2873, 1374, 2413, 3818, 10520, 3307, 3297, 4657, 2122, 3667]"
"[7655, 2631, 4068, 2587, 3837, 3017, 4103, 11130, 2819, 5411, 1169, 1667, 1694, 4137, 3746, 5495, 2077, 4701, 2879, 4548, 2748, 2646, 4023, 3161, 6553, 2606, 7493, 1753, 3657, 5281]"
"[9267, 2658, 3231, 1688, 5498, 3777, 2583, 2422, 2137, 3538, 7982, 2248, 2377, 3710, 2008, 2846, 6304, 1747, 4302, 2319, 7519, 4098, 1603, 1991, 2053, 2081, 1848, 1140, 3963, 2837]"
"[26084, 6907, 8830, 4889, 6168, 4953, 3897, 2871, 3285, 3018, 3767, 2391, 3021, 7113, 6137, 3027, 8195, 2199, 4086, 3366, 2358, 4087, 2567, 4066, 3959, 2215, 3301, 5245, 4263, 4901]"
"[9698, 2749, 2327, 6055, 3673, 3105, 1945, 2070, 1824, 1586, 1779, 3469, 2202, 1734, 1920, 2328, 1539, 3759, 1748, 3223, 3018, 3920, 2206, 1492, 1410, 2397, 3000, 1975, 5121, 1882]"
"[4725, 3119, 9135, 3003, 2915, 2754, 4496, 3098, 2042, 2057, 1915, 2172, 1834, 2046, 6406, 1827, 2506, 2062, 2364, 3584, 4615, 3501, 4038, 2962, 2374, 2180, 2615, 3116, 3741, 1963]"
"[8413, 4199, 27001, 3630, 15696, 85306, 17244, 115538, 9896, 5585, 37934, 13034, 20381, 4239, 10262, 11204, 11688, 6616, 5589, 20939, 6268, 5374, 15022, 22092, 7162, 16960, 4605, 11799, 13892, 4466]"
"[3599, 3229, 2564, 5343, 3395, 2109, 1790, 2379, 2066, 2596, 1926, 1112, 1750, 2232, 1429, 2593, 1519, 1506, 1379, 4373, 1713, 1865, 1287, 2250, 2198, 2887, 2670, 1279, 2636, 3793]"
"[5440, 2434, 1158, 1464, 826, 848, 634, 1234, 1399, 1230, 1286, 1417, 1132, 364, 857, 1094, 1039, 784, 1060, 1024, 892, 1229, 1790, 867, 722, 1387, 1052, 698, 580, 1635]"
"[4308, 3408, 3797, 4980, 3512, 2260, 2345, 1702, 5506, 2935, 1993, 2997, 4116, 3143, 3811, 2651, 4961, 2148, 3800, 2300, 1639, 3062, 1801, 2162, 2058, 2319, 2537, 3473, 2920, 2674]"
"[13201, 5083, 3635, 7867, 4819, 3980, 2821, 3808, 2697, 3205, 4350, 2243, 5717, 2016, 3395, 3563, 1991, 4173, 2366, 2220, 3101, 3389, 5190, 2843, 2496, 2998, 2248, 3963, 2383, 3885]"
"[7746, 3061, 2366, 3896, 4413, 5094, 4087, 3344, 2462, 2122, 4097, 5190, 3816, 4869, 3357, 2382, 2794, 2648, 2268, 3515, 2180, 4331, 2392, 1783, 1459, 4277, 3726, 3905, 2648, 1996]"
"[11757, 4714, 4350, 11921, 14386, 3765, 5994, 4815, 7536, 1885, 5733, 7981, 2835, 1758, 1526, 2482, 6663, 5176, 4153, 9273, 17405, 3732, 2732, 1819, 3214, 2342, 6099, 3366, 6197, 5102]"
"[9953, 12713, 6142, 15499, 22508, 2464, 3839, 15056, 5300, 6379, 4160, 12108, 12249, 6314, 21171, 13766, 6422, 9092, 3340, 7633, 2950, 15660, 10089, 18087, 13557, 3413, 7551, 5753, 11413, 7412]"
"[8286, 3876, 3514, 2777, 1893, 4419, 1970, 1946, 2799, 1351, 1867, 1923, 1952, 1466, 2331, 4301, 1446, 1417, 2577, 3889, 1351, 1722, 2063, 2436, 1768, 1757, 1194, 2592, 1551, 2090]"
"[4598, 2982, 12446, 8618, 4049, 4153, 4337, 8650, 2923, 4231, 3403, 4496, 8389, 5671, 1967, 2177, 3220, 14841, 3199, 2135, 2479, 3437, 1662, 2426, 2285, 18094, 6523, 8013, 2443, 10496]"
"[3171, 2084, 2246, 1609, 1639, 1312, 2283, 1245, 4194, 1439, 3564, 1018, 1821, 1139, 1175, 5957, 1718, 5199, 1311, 2001, 1229, 1432, 1245, 1209, 1017, 3123, 1334, 4587, 1311, 1614]"
"[3940, 4938, 1853, 7038, 3026, 2003, 2552, 2562, 1960, 2576, 2245, 2010, 2893, 1843, 4550, 3497, 2407, 3325, 1980, 2711, 2392, 4231, 2239, 1821, 4092, 1861, 1612, 1237, 2063, 3108]"
"[3315, 2778, 3169, 2113, 2691, 1895, 1866, 1566, 1421, 1487, 1565, 2058, 1683, 1740, 1299, 3744, 1385, 1449, 1617, 2044, 1410, 1339, 2530, 9465, 1820, 1265, 1538, 2261, 1364, 1481]"
"[5735, 3490, 1736, 1761, 1378, 6504, 1610, 3419, 3308, 1624, 979, 1049, 5353, 1555, 1142, 1371, 1103, 1327, 1562, 1298, 1512, 1167, 970, 1152, 910, 1403, 959, 2759, 1682, 2191]"
"[2856, 1961, 1544, 1914, 1935, 1213, 1573, 1518, 1316, 1949, 2668, 1181, 1249, 1069, 990, 956, 1244, 2789, 1455, 869, 2190, 1968, 1201, 1895, 1499, 986, 2108, 1662, 1204, 1248]"
"[39554, 8397, 7435, 26649, 13928, 3961, 5043, 19235, 1966, 12595, 4334, 4235, 5509, 6985, 3731, 10957, 13423, 2223, 9023, 2710, 4438, 2464, 3427, 6802, 12546, 3563, 4151, 1998, 7365, 6896]"
"[1416, 397, 199, 248, 264, 256, 277, 271, 262, 275, 230, 207, 252, 244, 199, 217, 174, 218, 46, 22, 46, 35, 37, 55, 41, 54, 52, 61, 43, 69, 247]"
"[9502, 3020, 1560, 1491, 1094, 1061, 1908, 933, 3116, 1948, 1849, 1021, 925, 2760, 1034, 1897, 917, 1534, 1021, 1523, 749, 997, 919, 1994, 878, 1689, 1134, 1332, 734, 1154]"
"[6910, 9578, 3166, 6014, 3518, 6841, 4379, 3569, 3965, 4555, 11750, 2975, 8068, 2375, 15656, 4004, 3522, 3846, 3012, 9812, 2819, 5726, 3251, 3456, 3543, 3059, 2261, 3026, 5333, 2011]"
"[5455, 2389, 2199, 1518, 2365, 1871, 4108, 1560, 2798, 3770, 1412, 1628, 1332, 1491, 2579, 1916, 3110, 2564, 2466, 1853, 1911, 1342, 1417, 1151, 1744, 1776, 3471, 2328, 2049, 2606]"
"[4428, 1341, 35902, 1607, 1151, 3244, 1301, 2476, 1337, 1074, 1049, 2211, 1210, 1594, 2880, 1124, 1731, 845, 1890, 1633, 935, 1009, 1235, 955, 1036, 1195, 843, 1844, 1091, 2247]"
"[4511, 2317, 7159, 2496, 1654, 4496, 2393, 2010, 4278, 1689, 7014, 2212, 3029, 2141, 3367, 1976, 8319, 2672, 4526, 2627, 2022, 2732, 2691, 2983, 1682, 4785, 2351, 4595, 2249, 4276]"
"[24826, 8629, 4699, 4222, 4610, 3047, 7288, 2222, 3034, 8081, 3717, 5440, 3196, 2472, 7356, 4140, 1797, 6361, 2333, 4797, 1752, 4403, 7461, 3344, 2813, 11567, 3112, 2655, 1897, 2125]"
"[2335, 1974, 2566, 3391, 1245, 1197, 1721, 7816, 1555, 1172, 1278, 1677, 1252, 4408, 2384, 1371, 1164, 1158, 1215, 3016, 1101, 1921, 2195, 1339, 2120, 2145, 1377, 2716, 2875, 1765]"
"[5552, 1954, 2292, 1370, 1441, 1708, 962, 2477, 1435, 1894, 2333, 1582, 1170, 18215, 785, 1097, 2795, 1975, 1429, 1188, 2172, 1070, 1894, 2112, 1553, 794, 1405, 955, 1512, 2988]"
"[4408, 2447, 1128, 1650, 1066, 1760, 1371, 1649, 1653, 1244, 1567, 1565, 1249, 1170, 1057, 1382, 3066, 1566, 3748, 2745, 7633, 1480, 4008, 1584, 1540, 2600, 1951, 3356, 4110, 1593]"
"[4166, 5758, 7798, 6663, 10007, 6119, 4170, 6334, 10386, 5853, 6968, 8936, 5079, 3365, 5660, 8599, 4041, 4573, 3441, 5921, 4266, 5703, 4029, 5713, 6191, 5231, 5002, 4148, 5061, 4175]"
"[3086, 1493, 3404, 1903, 2501, 2931, 2167, 2751, 2427, 2658, 2601, 2445, 2154, 2219, 2464, 2663, 5032, 4065, 1983, 1556, 1989, 1705, 1379, 1892, 1965, 1541, 1368, 1461, 2082, 2353]"
"[14852, 3428, 3387, 2627, 15817, 2323, 2712, 2453, 6420, 2364, 5425, 10245, 2942, 3011, 3651, 2363, 2204, 9513, 1949, 2661, 1381, 1663, 4340, 11650, 2634, 3084, 3506, 2038, 3030, 2739]"
"[7722, 4593, 3345, 2694, 3734, 3118, 2905, 2671, 2688, 6007, 3223, 3744, 1970, 3821, 2868, 4391, 6606, 3239, 2833, 5000, 4278, 3788, 2386, 5109, 3622, 2716, 2797, 3686, 6067, 2690]"
"[5072, 2055, 4112, 2210, 2771, 2781, 2575, 2243, 1976, 4428, 4000, 4006, 6318, 3617, 1991, 3086, 1824, 1828, 5113, 5617, 2496, 2062, 2668, 1645, 2302, 3179, 2999, 1967, 2700, 1722]"
"[8035, 4440, 2569, 3719, 4438, 3325, 8496, 8249, 7006, 2733, 4759, 6050, 1885, 4318, 1779, 2243, 1804, 6545, 2815, 2926, 3415, 2524, 2611, 4268, 1699, 1821, 2350, 1622, 3644, 6186]"
"[23416, 9183, 3284, 7545, 4058, 4951, 16429, 6115, 33857, 5561, 7469, 3081, 4268, 15055, 3915, 5199, 14535, 9093, 9339, 2086, 12289, 7021, 3023, 8927, 5193, 22702, 9090, 9585, 5932, 11280]"
"[21964, 21494, 9331, 7485, 8453, 3427, 8237, 2747, 4172, 7365, 4901, 2944, 12143, 2502, 2409, 2220, 1701, 2597, 6017, 5725, 2955, 12236, 1971, 6207, 6266, 2008, 15342, 2826, 2660, 2390]"
"[36338, 1956, 634, 238, 482, 121, 68, 137, 91, 135, 50, 129, 129, 140, 131, 154, 160, 119, 110, 172, 145, 124, 131, 134, 198, 108, 157, 131, 226, 612, 911, 1149]"
"[4235, 2708, 1970, 2525, 2224, 2173, 2454, 1294, 4086, 2331, 3662, 2058, 3796, 1753, 3229, 1316, 3852, 4534, 7320, 2208, 2727, 3135, 2240, 1693, 3207, 1603, 2682, 2271, 2864, 2072]"
"[3614, 6702, 8272, 6675, 2987, 3770, 4935, 3926, 3829, 10469, 4273, 6157, 2208, 3195, 4408, 21292, 6531, 3634, 4814, 3242, 3328, 7438, 17649, 7607, 10122, 4622, 5322, 2293, 3155, 2690]"
"[3359, 2400, 3960, 2089, 1495, 1658, 2209, 2160, 1238, 1614, 2184, 3495, 2388, 2133, 1355, 1363, 1955, 1984, 1824, 1528, 2350, 1259, 1811, 1220, 1433, 1658, 1249, 1134, 1491, 1276]"
"[28067, 2423, 2337, 3816, 7286, 19106, 5471, 1683, 1794, 3339, 2965, 1932, 1957, 6405, 1347, 1643, 1807, 3467, 2041, 3988, 1744, 1764, 2001, 3800, 1324, 1596, 2972, 1509, 2163, 2540]"
"[3144, 6892, 3124, 10156, 3992, 2146, 5075, 2436, 1604, 2149, 5208, 2548, 1770, 4448, 1652, 24403, 5631, 1878, 1753, 4143, 6675, 1571, 3499, 2026, 3473, 1778, 5123, 1717, 2688, 6988]"
"[3508, 1982, 3188, 2112, 4631, 2626, 4305, 2744, 3799, 4196, 6257, 3980, 1826, 2885, 1665, 2927, 4010, 2301, 4853, 3180, 3961, 10236, 6078, 2518, 9857, 7845, 8484, 5592, 1985, 7079]"
"[63434, 1971, 1930, 1108, 12817, 7520, 37465, 3568, 3560, 2687, 1669, 1567, 2888, 3707, 6248, 2068, 1766, 1835, 1790, 1601, 3502, 5532, 9062, 2433, 4698, 3871, 3862, 5095, 1586, 1876]"
"[10230, 3763, 5210, 2784, 6302, 3968, 2090, 1734, 1992, 2891, 1876, 1946, 4048, 1504, 2755, 1950, 5147, 3658, 1442, 7952, 1562, 2748, 3744, 2335, 1989, 6963, 3299, 10565, 3222, 4280]"
"[1798, 65, 310, 992, 96, 133, 92, 27, 136, 32, 143, 92, 173, 161, 48, 94, 1229, 93, 134, 310, 238, 32, 59, 33, 177, 33, 119, 1178, 107, 101]"
