n_answers,n_correct_answers
30,21
30,22
30,24
30,22
30,3
30,26
30,25
30,27
30,18
30,24
30,29
30,24
30,24
30,22
30,26
30,23
30,18
30,16
30,15
30,17
30,25
30,17
30,17
30,18
30,13
30,17
30,15
30,12
30,22
30,20
30,21
30,19
30,13
30,11
30,12
30,11
30,14
30,27
30,19
30,12
30,23
30,22
30,12
31,9
30,19
30,23
30,20
30,27
30,27
30,26
30,27
30,19
30,24
30,21
30,18
30,23
30,20
30,24
30,9
30,19
30,24
32,20
30,17
30,16
30,26
30,14
30,22
30,18
30,21
30,19
30,16
30,26
30,19
30,15
30,21
30,14
30,26
30,24
30,18
30,11
30,13
30,22
30,14
30,8
30,18
30,22
30,24
30,21
30,13
30,16
30,19
30,17
30,22
30,22
30,21
30,18
30,21
30,19
30,24
30,19
30,12
30,18
30,22
30,17
30,16
30,17
30,16
30,14
30,17
30,17
30,24
30,22
30,21
30,14
30,24
30,16
30,23
30,14
30,16
32,27
30,20
30,23
30,21
30,25
30,18
30,23
30,19
30,25
30,14
30,19
30,6
30,16
30,17
30,15
30,15
30,26
30,23
30,23
30,14
30,24
30,24
30,17
30,21
30,17
30,18
30,15
30,14
30,22
30,15
30,16
30,20
30,24
30,20
30,22
30,26
30,21
30,19
30,21
30,26
30,21
30,13
30,22
30,14
30,19
30,23
30,19
30,19
30,24
30,23
30,14
30,24
30,21
30,26
30,20
30,23
30,17
30,19
30,21
30,19
30,15
30,15
30,22
30,5
30,5
31,10
31,23
30,20
30,22
31,21
30,13
30,19
30,16
30,23
30,22
30,9
30,15
30,18
30,20
30,28
30,15
30,17
30,13
30,18
30,14
30,16
30,16
30,25
30,19
30,13
30,18
30,22
30,27
30,21
30,16
30,22
30,11
30,20
30,22
30,24
30,18
30,20
30,28
30,17
30,16
30,20
30,23
30,22
30,23
30,18
30,25
30,16
30,20
30,16
30,19
30,23
30,24
30,26
30,11
30,27
30,29
30,25
30,23
30,22
30,17
30,19
30,18
30,21
30,19
30,26
30,25
30,21
30,22
30,19
30,22
30,19
30,23
30,28
30,24
30,20
30,24
30,18
30,21
30,14
30,21
30,18
30,24
30,21
30,28
30,22
30,28
30,19
30,21
30,21
30,12
30,16
30,23
30,20
30,20
30,17
30,22
30,5
30,24
30,22
30,14
30,16
30,19
30,21
30,21
32,18
30,25
30,22
30,12
30,10
30,22
30,21
30,14
30,18
30,17
30,24
30,9
30,24
30,17
30,21
30,17
30,11
30,24
30,17
30,15
30,17
30,21
30,17
30,14
30,16
30,23
30,19
30,16
30,21
30,22
30,17
30,18
30,25
30,26
30,18
30,12
30,20
30,23
30,24
30,22
30,25
30,14
30,17
30,17
30,12
30,13
30,27
30,11
30,14
30,18
30,15
30,18
30,16
30,17
30,15
30,21
30,9
30,24
30,21
30,17
30,26
30,25
30,24
30,25
30,20
30,20
30,20
30,24
30,14
30,25
30,23
30,26
30,15
30,21
30,18
30,8
30,19
30,19
30,12
30,18
30,13
30,20
30,24
30,22
30,17
30,20
30,19
30,17
30,25
30,20
30,18
30,17
30,17
30,23
30,19
30,17
30,22
30,17
30,10
30,23
30,18
30,17
30,14
30,24
30,6
30,19
30,25
30,21
30,30
30,27
30,16
30,12
30,12
30,19
30,15
30,21
30,15
30,21
30,6
30,19
30,15
30,16
30,24
30,19
30,15
30,16
30,20
30,27
30,21
30,15
30,23
30,16
30,12
30,21
30,21
30,24
30,21
30,22
30,20
30,20
30,23
30,20
30,26
30,17
30,19
30,19
30,14
30,21
30,23
30,19
30,24
30,16
30,21
30,24
30,9
30,20
30,22
30,23
30,23
30,21
30,23
30,22
30,23
30,21
30,18
30,24
30,11
30,14
30,17
30,21
30,21
30,18
30,28
30,22
30,20
30,15
30,13
30,19
30,5
30,20
30,17
30,14
30,18
30,8
30,23
30,16
30,28
30,21
30,21
30,18
30,22
30,16
30,21
30,12
30,24
30,17
30,16
30,17
30,16
30,17
30,28
30,24
30,24
30,20
30,21
30,22
30,18
30,20
30,16
30,11
30,17
30,22
30,21
30,29
30,18
30,21
30,17
30,15
30,16
30,20
30,19
30,19
30,18
30,13
30,23
30,19
30,25
30,18
30,18
30,26
30,19
30,22
30,15
30,16
30,8
30,21
30,20
30,21
30,22
30,15
30,21
30,25
30,15
30,20
30,19
30,20
30,18
30,22
30,23
30,18
30,17
30,18
30,17
30,18
30,26
30,17
30,17
30,12
30,22
30,11
30,16
30,23
30,10
30,16
30,25
30,21
30,20
30,24
30,25
30,22
30,27
30,4
30,14
30,17
30,21
30,21
30,20
30,16
30,23
30,24
20,11
13,6
17,9
12,6
13,6
12,6
9,5
9,5
6,4
9,3
7,3
7,5
4,2
5,3
5,2
3,1
7,2
5,2
7,2
7,4
6,5
8,6
4,1
5,3
4,1
3,1
5,2
4,1
3,1
2,2
3,3
3,0
2,0
5,3
3,1
5,3
2,1
2,1
2,1
2,1
5,1
5,4
2,2
4,1
4,4
3,1
3,2
4,1
2,2
4,3
1,1
1,0
1,1
1,1
1,1
1,0
1,1
1,1
1,1
1,0
1,0
1,1
1,1
1,1
30,26
30,21
30,20
30,13
30,20
30,21
30,12
30,18
30,23
30,23
30,26
30,22
30,9
30,13
30,20
30,13
30,6
30,18
29,16
30,21
30,11
30,17
30,15
30,29
30,15
5,3
30,20
30,10
30,15
30,17
30,10
30,18
30,20
30,18
30,15
30,25
30,19
30,10
30,18
8,2
30,23
30,11
30,25
30,17
30,20
12,6
30,18
30,13
30,16
30,19
30,17
30,7
30,14
30,18
30,26
30,21
30,19
30,12
30,25
30,16
30,22
30,23
12,3
30,21
30,21
30,22
30,21
30,21
30,19
30,17
11,6
11,5
30,19
30,22
30,22
30,28
30,15
30,24
30,24
30,21
1,1
30,20
30,11
30,22
30,12
30,8
30,18
30,24
30,20
30,23
30,27
30,14
30,15
30,19
30,19
30,23
30,23
30,28
30,24
30,25
30,18
30,21
30,21
30,21
30,26
30,14
30,15
7,7
30,18
30,22
30,16
30,13
30,15
30,16
30,24
2,1
30,22
30,25
30,14
30,17
30,20
30,19
8,8
30,24
30,25
30,23
30,26
30,25
30,26
2,1
9,5
30,22
30,24
30,22
30,17
30,20
30,15
30,24
30,18
30,16
23,16
30,15
30,14
30,23
30,19
30,9
30,19
30,16
30,19
30,16
30,22
30,24
30,26
30,18
30,17
30,20
30,15
30,17
30,25
30,25
30,19
30,16
30,20
30,22
9,5
30,27
30,21
2,0
30,18
3,0
30,8
30,16
30,13
30,16
30,12
30,18
30,16
30,17
30,20
30,16
30,12
30,22
30,18
30,17
30,15
30,25
30,22
30,25
30,13
30,19
30,25
30,17
30,23
30,24
30,19
30,19
30,24
30,22
30,18
30,27
31,17
30,26
30,22
30,18
30,25
30,23
30,27
30,20
30,12
30,21
30,15
30,20
30,18
30,13
30,21
30,20
30,23
30,27
30,18
30,19
30,18
30,19
30,15
30,21
30,18
30,17
30,18
30,19
30,17
30,20
30,13
30,15
30,19
30,22
30,19
30,23
30,17
30,8
30,24
30,14
30,24
30,17
30,23
30,23
30,27
30,18
30,21
30,19
30,15
30,18
30,20
30,20
31,19
30,17
30,16
30,14
30,19
30,14
30,21
30,18
3,2
30,21
30,17
30,21
31,11
30,20
30,15
30,25
30,18
30,13
30,24
30,22
30,13
30,18
30,17
9,4
30,15
30,26
30,16
30,18
30,20
30,22
30,16
30,18
30,18
31,15
30,14
30,19
30,13
31,11
30,21
30,16
30,16
30,19
30,16
30,19
27,12
30,24
30,24
30,19
30,17
4,4
30,20
30,20
30,21
30,19
30,10
30,14
30,24
30,14
30,15
30,7
30,11
30,17
2,0
30,24
30,16
3,0
30,9
30,13
30,20
30,19
30,21
3,1
30,18
30,22
30,15
30,13
30,22
30,22
30,18
30,19
30,19
30,17
30,21
30,17
30,18
30,19
2,1
14,10
30,15
30,21
30,13
30,13
30,18
30,11
30,19
30,18
30,15
30,14
30,15
30,25
30,11
30,12
3,2
30,13
30,17
8,2
30,13
30,13
30,25
30,18
1,1
30,12
30,23
30,17
28,18
30,10
30,16
20,13
28,14
30,16
30,15
20,10
20,10
17,11
20,13
15,11
17,7
20,11
17,8
18,8
22,10
14,5
15,12
14,8
17,9
16,9
12,7
13,9
15,7
10,6
12,8
11,8
12,9
12,6
11,5
9,5
10,6
10,4
8,2
8,4
9,3
10,6
8,6
9,7
9,6
7,6
7,5
5,2
8,2
7,5
7,1
6,2
7,3
10,8
6,2
5,4
8,1
5,1
6,5
6,4
7,5
3,2
5,5
5,3
5,3
5,4
4,3
4,3
5,4
5,3
5,3
4,4
2,2
3,2
1,0
2,1
3,2
1,0
2,2
3,3
2,1
2,1
1,0
2,2
3,2
3,3
2,1
2,1
2,0
2,1
2,2
