,VI_yun,edge_error_rate_yun,total_queries,K,K_predicted,T,repeats_per_pair
0,3.462456661248432,0.34286666666666665,44328,3,24,44328,1
1,3.29490954198996,0.34667654320987656,54963,3,22,54963,1
2,3.282777773816989,0.335079012345679,55128,3,20,55128,1
3,3.6535808822298024,0.34814567901234567,43461,3,23,43461,1
4,3.2937180185456065,0.3363925925925926,50262,3,21,50262,1
5,3.543709847177605,0.3559185185185185,50322,3,23,50322,1
6,3.58598161786496,0.34876296296296294,49482,3,22,49482,1
7,3.3848695994508877,0.341,54831,3,20,54831,1
8,3.1948373547376003,0.33156543209876543,59934,3,20,59934,1
9,3.37850423927958,0.3466493827160494,59538,3,19,59538,1
